host_unix_s,t_rel_s,stream,duty,vbat,i_motor,i_in,enc_millis,enc_count,position_m,velocity_mps
1775847139.3760269,0.00013899803161621094,enc,,,,,60764,0,0.0,0.0
1775847139.3760698,0.0001819133758544922,enc,,,,,60774,0,0.0,0.0
1775847139.376072,0.00018405914306640625,enc,,,,,60784,0,0.0,0.0
1775847139.376073,0.0001850128173828125,enc,,,,,60794,0,0.0,0.0
1775847139.376075,0.00018715858459472656,enc,,,,,60804,0,0.0,0.0
1775847139.376076,0.0001881122589111328,enc,,,,,60814,0,0.0,0.0
1775847139.3760772,0.00018930435180664062,enc,,,,,60824,0,0.0,0.0
1775847139.376079,0.00019121170043945312,enc,,,,,60834,0,0.0,0.0
1775847139.3760798,0.0001919269561767578,enc,,,,,60904,0,0.0,0.0
1775847139.376081,0.00019311904907226562,enc,,,,,60914,0,0.0,0.0
1775847139.376083,0.00019502639770507812,enc,,,,,60924,0,0.0,0.0
1775847139.3760839,0.00019598007202148438,enc,,,,,60934,0,0.0,0.0
1775847139.507562,0.13167405128479004,enc,,,,,60954,0,0.0,0.0
1775847139.507572,0.1316840648651123,enc,,,,,60964,0,0.0,0.0
1775847139.507573,0.1316850185394287,enc,,,,,60974,0,0.0,0.0
1775847139.507575,0.13168716430664062,enc,,,,,60984,0,0.0,0.0
1775847139.641818,0.26593017578125,enc,,,,,60994,0,0.0,0.0
1775847139.641831,0.2659430503845215,enc,,,,,61004,0,0.0,0.0
1775847139.641833,0.2659451961517334,enc,,,,,61014,0,0.0,0.0
1775847139.641835,0.2659471035003662,enc,,,,,61024,0,0.0,0.0
1775847139.641836,0.2659480571746826,enc,,,,,61034,0,0.0,0.0
1775847139.641838,0.26595020294189453,enc,,,,,61044,0,0.0,0.0
1775847139.641839,0.26595115661621094,enc,,,,,61054,0,0.0,0.0
1775847139.641841,0.26595306396484375,enc,,,,,61064,0,0.0,0.0
1775847139.641842,0.26595401763916016,enc,,,,,61074,0,0.0,0.0
1775847139.6418428,0.26595497131347656,enc,,,,,61144,0,0.0,0.0
1775847139.641844,0.26595616340637207,enc,,,,,61154,0,0.0,0.0
1775847139.641846,0.2659580707550049,enc,,,,,61164,0,0.0,0.0
1775847139.754414,0.3785262107849121,enc,,,,,61174,0,0.0,0.0
1775847139.7544231,0.37853527069091797,enc,,,,,61184,0,0.0,0.0
1775847139.754425,0.3785371780395508,enc,,,,,61194,0,0.0,0.0
1775847139.754426,0.3785381317138672,enc,,,,,61204,0,0.0,0.0
1775847139.7544289,0.3785409927368164,enc,,,,,61294,0,0.0,0.0
1775847139.75443,0.3785421848297119,enc,,,,,61304,0,0.0,0.0
1775847139.754431,0.3785431385040283,enc,,,,,61314,0,0.0,0.0
1775847139.754432,0.3785440921783447,enc,,,,,61324,0,0.0,0.0
1775847139.8866,0.5107121467590332,enc,,,,,61334,0,0.0,0.0
1775847139.886614,0.5107262134552002,enc,,,,,61344,0,0.0,0.0
1775847139.886615,0.5107271671295166,enc,,,,,61354,0,0.0,0.0
1775847139.8866172,0.5107293128967285,enc,,,,,61364,0,0.0,0.0
1775847139.8866181,0.5107302665710449,enc,,,,,61374,0,0.0,0.0
1775847139.8866189,0.5107309818267822,enc,,,,,61384,0,0.0,0.0
1775847139.8866198,0.5107319355010986,enc,,,,,61394,0,0.0,0.0
1775847139.886621,0.5107331275939941,enc,,,,,61404,0,0.0,0.0
1775847139.886622,0.5107340812683105,enc,,,,,61414,0,0.0,0.0
1775847139.886623,0.510735034942627,enc,,,,,61424,0,0.0,0.0
1775847140.001683,0.6257951259613037,enc,,,,,61434,0,0.0,0.0
1775847140.0016909,0.6258029937744141,enc,,,,,61444,0,0.0,0.0
1775847140.001693,0.625805139541626,enc,,,,,61454,0,0.0,0.0
1775847140.001694,0.6258060932159424,enc,,,,,61464,0,0.0,0.0
1775847140.001695,0.6258070468902588,enc,,,,,61474,0,0.0,0.0
1775847140.002356,0.6264681816101074,enc,,,,,61574,0,0.0,0.0
1775847140.1347861,0.7588982582092285,enc,,,,,61584,0,0.0,0.0
1775847140.135215,0.7593271732330322,enc,,,,,61604,0,0.0,0.0
1775847140.1352162,0.7593283653259277,enc,,,,,61614,0,0.0,0.0
1775847140.135218,0.7593300342559814,enc,,,,,61624,0,0.0,0.0
1775847140.1352189,0.7593309879302979,enc,,,,,61634,0,0.0,0.0
1775847140.13522,0.7593321800231934,enc,,,,,61644,0,0.0,0.0
1775847140.135221,0.7593331336975098,enc,,,,,61654,0,0.0,0.0
1775847140.135222,0.7593340873718262,enc,,,,,61664,0,0.0,0.0
1775847140.1352232,0.7593352794647217,enc,,,,,61674,0,0.0,0.0
1775847140.267041,0.89115309715271,enc,,,,,61684,0,0.0,0.0
1775847140.2670999,0.891211986541748,enc,,,,,61694,0,0.0,0.0
1775847140.267102,0.89121413230896,enc,,,,,61704,0,0.0,0.0
1775847140.267104,0.8912160396575928,enc,,,,,61714,0,0.0,0.0
1775847140.26791,0.8920221328735352,enc,,,,,61734,0,0.0,0.0
1775847140.267912,0.892024040222168,enc,,,,,61804,0,0.0,0.0
1775847140.2679129,0.8920249938964844,enc,,,,,61814,0,0.0,0.0
1775847140.267914,0.8920261859893799,enc,,,,,61824,0,0.0,0.0
1775847140.267915,0.8920271396636963,enc,,,,,61834,0,0.0,0.0
1775847140.398865,1.0229771137237549,enc,,,,,61844,0,0.0,0.0
1775847140.398877,1.02298903465271,enc,,,,,61854,0,0.0,0.0
1775847140.398879,1.0229911804199219,enc,,,,,61864,0,0.0,0.0
1775847140.398881,1.0229930877685547,enc,,,,,61874,0,0.0,0.0
1775847140.398883,1.0229952335357666,enc,,,,,61884,0,0.0,0.0
1775847140.398884,1.022996187210083,enc,,,,,61894,0,0.0,0.0
1775847140.398886,1.0229980945587158,enc,,,,,61904,0,0.0,0.0
1775847140.398887,1.0229990482330322,enc,,,,,61914,0,0.0,0.0
1775847140.398889,1.0230011940002441,enc,,,,,61924,0,0.0,0.0
1775847140.39889,1.0230021476745605,enc,,,,,61934,0,0.0,0.0
1775847140.516115,1.1402270793914795,enc,,,,,61944,0,0.0,0.0
1775847140.516124,1.1402361392974854,enc,,,,,61954,0,0.0,0.0
1775847140.516125,1.1402370929718018,enc,,,,,61964,0,0.0,0.0
1775847140.516126,1.1402380466461182,enc,,,,,61974,0,0.0,0.0
1775847140.5161269,1.1402390003204346,enc,,,,,61984,0,0.0,0.0
1775847140.516459,1.140571117401123,enc,,,,,62074,0,0.0,0.0
1775847140.51646,1.1405720710754395,enc,,,,,62084,0,0.0,0.0
1775847140.6470678,1.2711799144744873,enc,,,,,62094,0,0.0,0.0
1775847140.647507,1.2716190814971924,enc,,,,,62114,0,0.0,0.0
1775847140.647508,1.2716200351715088,enc,,,,,62124,0,0.0,0.0
1775847140.64751,1.2716221809387207,enc,,,,,62134,0,0.0,0.0
1775847140.647511,1.271623134613037,enc,,,,,62144,0,0.0,0.0
1775847140.647512,1.2716240882873535,enc,,,,,62154,0,0.0,0.0
1775847140.6475132,1.271625280380249,enc,,,,,62164,0,0.0,0.0
1775847140.6475148,1.2716269493103027,enc,,,,,62174,0,0.0,0.0
1775847140.647516,1.2716281414031982,enc,,,,,62184,0,0.0,0.0
1775847140.7801569,1.4042689800262451,enc,,,,,62194,0,0.0,0.0
1775847140.780222,1.4043340682983398,enc,,,,,62204,0,0.0,0.0
1775847140.780224,1.4043362140655518,enc,,,,,62214,0,0.0,0.0
1775847140.780226,1.4043381214141846,enc,,,,,62224,0,0.0,0.0
1775847140.7810571,1.4051692485809326,enc,,,,,62244,0,0.0,0.0
1775847140.781059,1.4051711559295654,enc,,,,,62314,0,0.0,0.0
1775847140.78106,1.4051721096038818,enc,,,,,62324,0,0.0,0.0
1775847140.7810612,1.4051733016967773,enc,,,,,62334,0,0.0,0.0
1775847140.781062,1.4051740169525146,enc,,,,,62344,0,0.0,0.0
1775847140.7810628,1.405174970626831,enc,,,,,62354,0,0.0,0.0
1775847140.9140081,1.5381202697753906,enc,,,,,62364,0,0.0,0.0
1775847140.9140239,1.5381360054016113,enc,,,,,62374,0,0.0,0.0
1775847140.914026,1.5381381511688232,enc,,,,,62384,0,0.0,0.0
1775847140.914028,1.538140058517456,enc,,,,,62394,0,0.0,0.0
1775847140.9140291,1.5381412506103516,enc,,,,,62404,0,0.0,0.0
1775847140.914031,1.5381431579589844,enc,,,,,62414,0,0.0,0.0
1775847140.9140322,1.5381443500518799,enc,,,,,62424,0,0.0,0.0
1775847140.914033,1.5381450653076172,enc,,,,,62434,0,0.0,0.0
1775847140.914034,1.5381460189819336,enc,,,,,62444,0,0.0,0.0
1775847140.9140348,1.53814697265625,enc,,,,,62454,0,0.0,0.0
1775847141.0271611,1.651273250579834,enc,,,,,62464,0,0.0,0.0
1775847141.027168,1.651280164718628,enc,,,,,62474,0,0.0,0.0
1775847141.02717,1.6512820720672607,enc,,,,,62484,0,0.0,0.0
1775847141.0271711,1.6512832641601562,enc,,,,,62494,0,0.0,0.0
1775847141.028333,1.6524450778961182,enc,,,,,62514,0,0.0,0.0
1775847141.0283341,1.6524462699890137,enc,,,,,62584,0,0.0,0.0
1775847141.1600618,1.7841739654541016,enc,,,,,62594,0,0.0,0.0
1775847141.160077,1.784189224243164,enc,,,,,62604,0,0.0,0.0
1775847141.1605482,1.7846603393554688,enc,,,,,62624,0,0.0,0.0
1775847141.1605492,1.7846612930297852,enc,,,,,62634,0,0.0,0.0
1775847141.1605508,1.7846629619598389,enc,,,,,62644,0,0.0,0.0
1775847141.160552,1.7846641540527344,enc,,,,,62654,0,0.0,0.0
1775847141.160553,1.7846651077270508,enc,,,,,62664,0,0.0,0.0
1775847141.160554,1.7846660614013672,enc,,,,,62674,0,0.0,0.0
1775847141.2938051,1.917917251586914,enc,,,,,62684,0,0.0,0.0
1775847141.293854,1.9179661273956299,enc,,,,,62694,0,0.0,0.0
1775847141.293855,1.9179670810699463,enc,,,,,62704,0,0.0,0.0
1775847141.293856,1.9179680347442627,enc,,,,,62714,0,0.0,0.0
1775847141.293857,1.9179692268371582,enc,,,,,62724,0,0.0,0.0
1775847141.293858,1.9179701805114746,enc,,,,,62734,0,0.0,0.0
1775847141.294764,1.9188761711120605,enc,,,,,62824,0,0.0,0.0
1775847141.2947662,1.9188783168792725,enc,,,,,62834,0,0.0,0.0
1775847141.2947671,1.9188792705535889,enc,,,,,62844,0,0.0,0.0
1775847141.294768,1.9188802242279053,enc,,,,,62854,0,0.0,0.0
1775847141.42568,2.0497920513153076,enc,,,,,62864,0,0.0,0.0
1775847141.425695,2.049807071685791,enc,,,,,62874,0,0.0,0.0
1775847141.425696,2.0498080253601074,enc,,,,,62884,0,0.0,0.0
1775847141.425698,2.0498101711273193,enc,,,,,62894,0,0.0,0.0
1775847141.4257002,2.0498123168945312,enc,,,,,62904,0,0.0,0.0
1775847141.4257011,2.0498132705688477,enc,,,,,62914,0,0.0,0.0
1775847141.4257019,2.049813985824585,enc,,,,,62924,0,0.0,0.0
1775847141.4257028,2.0498149394989014,enc,,,,,62934,0,0.0,0.0
1775847141.425704,2.049816131591797,enc,,,,,62944,0,0.0,0.0
1775847141.425706,2.0498180389404297,enc,,,,,62954,0,0.0,0.0
1775847141.540961,2.1650731563568115,enc,,,,,62964,0,0.0,0.0
1775847141.540969,2.165081024169922,enc,,,,,62974,0,0.0,0.0
1775847141.54097,2.1650822162628174,enc,,,,,62984,0,0.0,0.0
1775847141.540971,2.165083169937134,enc,,,,,62994,0,0.0,0.0
1775847141.540972,2.16508412361145,enc,,,,,63004,0,0.0,0.0
1775847141.5421078,2.16621994972229,enc,,,,,63094,0,0.0,0.0
1775847141.54211,2.166222095489502,enc,,,,,63104,0,0.0,0.0
1775847141.673505,2.297617197036743,enc,,,,,63114,0,0.0,0.0
1775847141.6740139,2.298125982284546,enc,,,,,63134,0,0.0,0.0
1775847141.674015,2.2981271743774414,enc,,,,,63144,0,0.0,0.0
1775847141.674017,2.298129081726074,enc,,,,,63154,0,0.0,0.0
1775847141.6740181,2.2981302738189697,enc,,,,,63164,0,0.0,0.0
1775847141.674019,2.298131227493286,enc,,,,,63174,0,0.0,0.0
1775847141.67402,2.2981321811676025,enc,,,,,63184,0,0.0,0.0
1775847141.674021,2.298133134841919,enc,,,,,63194,0,0.0,0.0
1775847141.674023,2.2981350421905518,enc,,,,,63204,0,0.0,0.0
1775847141.6740239,2.298135995864868,enc,,,,,63214,0,0.0,0.0
1775847141.806411,2.430523157119751,enc,,,,,63224,0,0.0,0.0
1775847141.806474,2.430586099624634,enc,,,,,63234,0,0.0,0.0
1775847141.806476,2.4305882453918457,enc,,,,,63244,0,0.0,0.0
1775847141.807381,2.431493043899536,enc,,,,,63264,0,0.0,0.0
1775847141.807382,2.4314942359924316,enc,,,,,63334,0,0.0,0.0
1775847141.807383,2.431495189666748,enc,,,,,63344,0,0.0,0.0
1775847141.807384,2.4314961433410645,enc,,,,,63354,0,0.0,0.0
1775847141.939125,2.563237190246582,enc,,,,,63364,0,0.0,0.0
1775847141.939138,2.5632500648498535,enc,,,,,63374,0,0.0,0.0
1775847141.93914,2.5632522106170654,enc,,,,,63384,0,0.0,0.0
1775847141.939142,2.5632541179656982,enc,,,,,63394,0,0.0,0.0
1775847141.939143,2.5632550716400146,enc,,,,,63404,0,0.0,0.0
1775847141.9391448,2.5632569789886475,enc,,,,,63414,0,0.0,0.0
1775847141.939146,2.563258171081543,enc,,,,,63424,0,0.0,0.0
1775847141.939148,2.563260078430176,enc,,,,,63434,0,0.0,0.0
1775847141.9391491,2.5632612705230713,enc,,,,,63444,0,0.0,0.0
1775847142.0529652,2.677077293395996,enc,,,,,63454,0,0.0,0.0
1775847142.052973,2.6770851612091064,enc,,,,,63464,0,0.0,0.0
1775847142.052974,2.677086114883423,enc,,,,,63474,0,0.0,0.0
1775847142.0529761,2.6770882606506348,enc,,,,,63484,0,0.0,0.0
1775847142.0529768,2.677088975906372,enc,,,,,63494,0,0.0,0.0
1775847142.052978,2.6770901679992676,enc,,,,,63504,0,0.0,0.0
1775847142.052979,2.677091121673584,enc,,,,,63574,0,0.0,0.0
1775847142.05298,2.6770920753479004,enc,,,,,63584,0,0.0,0.0
1775847142.052981,2.677093029022217,enc,,,,,63594,0,0.0,0.0
1775847142.052982,2.6770942211151123,enc,,,,,63604,0,0.0,0.0
1775847142.1861591,2.8102712631225586,enc,,,,,63614,0,0.0,0.0
1775847142.186174,2.810286045074463,enc,,,,,63624,0,0.0,0.0
1775847142.186176,2.810288190841675,enc,,,,,63634,0,0.0,0.0
1775847142.186178,2.8102900981903076,enc,,,,,63644,0,0.0,0.0
1775847142.1861792,2.810291290283203,enc,,,,,63654,0,0.0,0.0
1775847142.186651,2.810763120651245,enc,,,,,63674,0,0.0,0.0
1775847142.186652,2.8107640743255615,enc,,,,,63684,0,0.0,0.0
1775847142.186653,2.810765027999878,enc,,,,,63694,0,0.0,0.0
1775847142.1866539,2.8107659816741943,enc,,,,,63704,0,0.0,0.0
1775847142.186655,2.81076717376709,enc,,,,,63714,0,0.0,0.0
1775847142.186656,2.8107681274414062,enc,,,,,63724,0,0.0,0.0
1775847142.3179798,2.942091941833496,enc,,,,,63734,0,0.0,0.0
1775847142.318035,2.9421470165252686,enc,,,,,63744,0,0.0,0.0
1775847142.318037,2.9421491622924805,enc,,,,,63754,0,0.0,0.0
1775847142.31887,2.9429821968078613,enc,,,,,63845,0,0.0,0.0
1775847142.318871,2.9429831504821777,enc,,,,,63855,0,0.0,0.0
1775847142.3188732,2.9429852962493896,enc,,,,,63865,0,0.0,0.0
1775847142.3188741,2.942986249923706,enc,,,,,63875,0,0.0,0.0
1775847142.449899,3.0740110874176025,enc,,,,,63885,0,0.0,0.0
1775847142.449912,3.074024200439453,enc,,,,,63895,0,0.0,0.0
1775847142.4499142,3.074026346206665,enc,,,,,63905,0,0.0,0.0
1775847142.449915,3.0740270614624023,enc,,,,,63915,0,0.0,0.0
1775847142.4499168,3.074028968811035,enc,,,,,63925,0,0.0,0.0
1775847142.449919,3.074031114578247,enc,,,,,63935,0,0.0,0.0
1775847142.44992,3.0740320682525635,enc,,,,,63945,0,0.0,0.0
1775847142.449922,3.0740342140197754,enc,,,,,63955,0,0.0,0.0
1775847142.449923,3.074035167694092,enc,,,,,63965,0,0.0,0.0
1775847142.449924,3.074036121368408,enc,,,,,63975,0,0.0,0.0
1775847142.5640361,3.188148260116577,enc,,,,,63985,0,0.0,0.0
1775847142.564045,3.188157081604004,enc,,,,,63995,0,0.0,0.0
1775847142.564047,3.188159227371216,enc,,,,,64005,0,0.0,0.0
1775847142.5640478,3.188159942626953,enc,,,,,64015,0,0.0,0.0
1775847142.564049,3.1881611347198486,enc,,,,,64025,0,0.0,0.0
1775847142.5647402,3.188852310180664,enc,,,,,64115,0,0.0,0.0
1775847142.5647418,3.1888539791107178,enc,,,,,64125,0,0.0,0.0
1775847142.697827,3.32193922996521,enc,,,,,64135,0,0.0,0.0
1775847142.6978402,3.3219523429870605,enc,,,,,64145,0,0.0,0.0
1775847142.697842,3.3219540119171143,enc,,,,,64155,0,0.0,0.0
1775847142.6978428,3.3219549655914307,enc,,,,,64165,0,0.0,0.0
1775847142.698266,3.322378158569336,enc,,,,,64175,0,0.0,0.0
1775847142.698267,3.3223791122436523,enc,,,,,64185,0,0.0,0.0
1775847142.698268,3.3223800659179688,enc,,,,,64195,0,0.0,0.0
1775847142.698269,3.322381019592285,enc,,,,,64205,0,0.0,0.0
1775847142.6982698,3.3223819732666016,enc,,,,,64215,0,0.0,0.0
1775847142.698271,3.322383165359497,enc,,,,,64225,0,0.0,0.0
1775847142.829349,3.453461170196533,enc,,,,,64235,0,0.0,0.0
1775847142.8294039,3.4535160064697266,enc,,,,,64245,0,0.0,0.0
1775847142.829406,3.4535181522369385,enc,,,,,64255,0,0.0,0.0
1775847142.829407,3.453519105911255,enc,,,,,64265,0,0.0,0.0
1775847142.8301902,3.4543023109436035,enc,,,,,64285,0,0.0,0.0
1775847142.8301911,3.45430326461792,enc,,,,,64355,0,0.0,0.0
1775847142.830192,3.4543042182922363,enc,,,,,64365,0,0.0,0.0
1775847142.8301928,3.4543049335479736,enc,,,,,64375,0,0.0,0.0
1775847142.9627469,3.5868589878082275,enc,,,,,64385,0,0.0,0.0
1775847142.96276,3.586872100830078,enc,,,,,64395,0,0.0,0.0
1775847142.9627619,3.586874008178711,enc,,,,,64405,0,0.0,0.0
1775847142.962764,3.586876153945923,enc,,,,,64415,0,0.0,0.0
1775847142.9627662,3.5868782997131348,enc,,,,,64425,0,0.0,0.0
1775847142.9627671,3.586879253387451,enc,,,,,64435,0,0.0,0.0
1775847142.9627688,3.586880922317505,enc,,,,,64445,0,0.0,0.0
1775847142.96277,3.5868821144104004,enc,,,,,64455,0,0.0,0.0
1775847142.962771,3.586883068084717,enc,,,,,64465,0,0.0,0.0
1775847142.962772,3.586884021759033,enc,,,,,64475,0,0.0,0.0
1775847143.077337,3.701449155807495,enc,,,,,64485,0,0.0,0.0
1775847143.0773451,3.7014572620391846,enc,,,,,64495,0,0.0,0.0
1775847143.077346,3.701458215713501,enc,,,,,64505,0,0.0,0.0
1775847143.077347,3.7014591693878174,enc,,,,,64515,0,0.0,0.0
1775847143.0773492,3.7014613151550293,enc,,,,,64525,0,0.0,0.0
1775847143.07735,3.7014620304107666,enc,,,,,64595,0,0.0,0.0
1775847143.0773509,3.701462984085083,enc,,,,,64605,0,0.0,0.0
1775847143.077352,3.7014641761779785,enc,,,,,64615,0,0.0,0.0
1775847143.077353,3.701465129852295,enc,,,,,64625,0,0.0,0.0
1775847143.209302,3.833414077758789,enc,,,,,64635,0,0.0,0.0
1775847143.209316,3.833428144454956,enc,,,,,64645,0,0.0,0.0
1775847143.209318,3.833430051803589,enc,,,,,64655,0,0.0,0.0
1775847143.2093198,3.8334319591522217,enc,,,,,64665,0,0.0,0.0
1775847143.209322,3.8334341049194336,enc,,,,,64675,0,0.0,0.0
1775847143.209701,3.833813190460205,enc,,,,,64685,0,0.0,0.0
1775847143.2097018,3.8338139057159424,enc,,,,,64695,0,0.0,0.0
1775847143.209703,3.833815097808838,enc,,,,,64705,0,0.0,0.0
1775847143.209704,3.8338160514831543,enc,,,,,64715,0,0.0,0.0
1775847143.209706,3.833818197250366,enc,,,,,64725,0,0.0,0.0
1775847143.209707,3.8338191509246826,enc,,,,,64735,0,0.0,0.0
1775847143.341113,3.9652252197265625,enc,,,,,64745,0,0.0,0.0
1775847143.3411689,3.9652810096740723,enc,,,,,64755,0,0.0,0.0
1775847143.341171,3.965283155441284,enc,,,,,64765,0,0.0,0.0
1775847143.341172,3.9652841091156006,enc,,,,,64775,0,0.0,0.0
1775847143.341575,3.9656870365142822,enc,,,,,64865,0,0.0,0.0
1775847143.3415759,3.9656879901885986,enc,,,,,64875,0,0.0,0.0
1775847143.341577,3.965689182281494,enc,,,,,64885,0,0.0,0.0
1775847143.473898,4.098010063171387,enc,,,,,64895,0,0.0,0.0
1775847143.4739132,4.098025321960449,enc,,,,,64905,0,0.0,0.0
1775847143.4739149,4.098026990890503,enc,,,,,64915,0,0.0,0.0
1775847143.473917,4.098029136657715,enc,,,,,64925,0,0.0,0.0
1775847143.473919,4.098031044006348,enc,,,,,64935,0,0.0,0.0
1775847143.47392,4.098032236099243,enc,,,,,64945,0,0.0,0.0
1775847143.473921,4.09803318977356,enc,,,,,64955,0,0.0,0.0
1775847143.473922,4.098034143447876,enc,,,,,64965,0,0.0,0.0
1775847143.4739242,4.098036289215088,enc,,,,,64975,0,0.0,0.0
1775847143.473925,4.098037242889404,enc,,,,,64985,0,0.0,0.0
1775847143.4739258,4.098037958145142,enc,,,,,64995,0,0.0,0.0
1775847143.473927,4.098039150238037,enc,,,,,65005,0,0.0,0.0
1775847143.588157,4.212269067764282,enc,,,,,65015,0,0.0,0.0
1775847143.588166,4.212278127670288,enc,,,,,65025,0,0.0,0.0
1775847143.5884428,4.212554931640625,enc,,,,,65118,0,0.0,0.0
1775847143.588444,4.2125561237335205,enc,,,,,65128,0,0.0,0.0
1775847143.588445,4.212557077407837,enc,,,,,65138,0,0.0,0.0
1775847143.588446,4.212558031082153,enc,,,,,65148,0,0.0,0.0
1775847143.722363,4.346475124359131,enc,,,,,65158,0,0.0,0.0
1775847143.7223759,4.346487998962402,enc,,,,,65168,0,0.0,0.0
1775847143.722377,4.346489191055298,enc,,,,,65178,0,0.0,0.0
1775847143.722379,4.346491098403931,enc,,,,,65188,0,0.0,0.0
1775847143.7227368,4.346848964691162,enc,,,,,65198,0,0.0,0.0
1775847143.722738,4.346850156784058,enc,,,,,65208,0,0.0,0.0
1775847143.72274,4.34685206413269,enc,,,,,65218,0,0.0,0.0
1775847143.722741,4.346853017807007,enc,,,,,65228,0,0.0,0.0
1775847143.722742,4.346854209899902,enc,,,,,65238,0,0.0,0.0
1775847143.722743,4.346855163574219,enc,,,,,65248,0,0.0,0.0
1775847143.7227452,4.346857309341431,enc,,,,,65258,0,0.0,0.0
1775847143.7227461,4.346858263015747,enc,,,,,65268,0,0.0,0.0
1775847143.8524969,4.476608991622925,enc,,,,,65278,0,0.0,0.0
1775847143.8525052,4.476617336273193,enc,,,,,65288,0,0.0,0.0
1775847143.98541,4.609522104263306,enc,,,,,65388,0,0.0,0.0
1775847143.9854238,4.6095359325408936,enc,,,,,65398,0,0.0,0.0
1775847143.985425,4.609537124633789,enc,,,,,65408,0,0.0,0.0
1775847143.985427,4.609539031982422,enc,,,,,65418,0,0.0,0.0
1775847143.9854279,4.609539985656738,enc,,,,,65428,0,0.0,0.0
1775847143.985429,4.609541177749634,enc,,,,,65439,0,0.0,0.0
1775847143.98543,4.60954213142395,enc,,,,,65449,0,0.0,0.0
1775847143.985431,4.609543085098267,enc,,,,,65459,0,0.0,0.0
1775847143.985433,4.6095452308654785,enc,,,,,65469,0,0.0,0.0
1775847143.985434,4.609546184539795,enc,,,,,65479,0,0.0,0.0
1775847143.9854348,4.609546899795532,enc,,,,,65489,0,0.0,0.0
1775847143.985436,4.609548091888428,enc,,,,,65499,0,0.0,0.0
1775847143.985437,4.609549045562744,enc,,,,,65509,0,0.0,0.0
1775847144.0980911,4.722203254699707,enc,,,,,65519,0,0.0,0.0
1775847144.0981,4.722212076187134,enc,,,,,65529,0,0.0,0.0
1775847144.098102,4.722214221954346,enc,,,,,65539,0,0.0,0.0
1775847144.0983849,4.72249698638916,enc,,,,,65619,0,0.0,0.0
1775847144.0983858,4.722497940063477,enc,,,,,65629,0,0.0,0.0
1775847144.098387,4.722499132156372,enc,,,,,65639,0,0.0,0.0
1775847144.098388,4.7225000858306885,enc,,,,,65649,0,0.0,0.0
1775847144.2320452,4.856157302856445,enc,,,,,65659,0,0.0,0.0
1775847144.232061,4.856173038482666,enc,,,,,65669,0,0.0,0.0
1775847144.232063,4.856175184249878,enc,,,,,65679,0,0.0,0.0
1775847144.232065,4.856177091598511,enc,,,,,65689,0,0.0,0.0
1775847144.232067,4.856179237365723,enc,,,,,65699,0,0.0,0.0
1775847144.2324328,4.8565449714660645,enc,,,,,65710,0,0.0,0.0
1775847144.232434,4.85654616355896,enc,,,,,65720,0,0.0,0.0
