host_unix_s,t_rel_s,stream,duty,vbat,i_motor,i_in,enc_millis,enc_count,position_m,velocity_mps
1775847554.611798,0.0,enc,,,,,476008.0,17.0,0.00226,0.0
1775847554.61181,1.1920928955078125e-05,enc,,,,,476018.0,17.0,0.00226,0.0
1775847554.611812,1.4066696166992188e-05,enc,,,,,476028.0,17.0,0.00226,0.0
1775847554.611813,1.5020370483398438e-05,enc,,,,,476038.0,17.0,0.00226,0.0
1775847554.611815,1.6927719116210938e-05,enc,,,,,476048.0,17.0,0.00226,0.0
1775847554.6127229,0.0009248256683349609,enc,,,,,476068.0,17.0,0.00226,0.0
1775847554.612725,0.000926971435546875,enc,,,,,476078.0,17.0,0.00226,0.0
1775847554.612726,0.0009279251098632812,enc,,,,,476088.0,17.0,0.00226,0.0
1775847554.751606,0.13980793952941895,enc,,,,,476098.0,17.0,0.00226,0.0
1775847554.751619,0.13982105255126953,enc,,,,,476108.0,17.0,0.00226,0.0
1775847554.751621,0.13982295989990234,enc,,,,,476118.0,17.0,0.00226,0.0
1775847554.751624,0.13982605934143066,enc,,,,,476238.0,17.0,0.00226,0.0
1775847554.751625,0.13982701301574707,enc,,,,,476248.0,17.0,0.00226,0.0
1775847554.751626,0.13982796669006348,enc,,,,,476258.0,17.0,0.00226,0.0
1775847554.751628,0.1398298740386963,enc,,,,,476268.0,17.0,0.00226,0.0
1775847554.751629,0.1398310661315918,enc,,,,,476278.0,17.0,0.00226,0.0
1775847554.75163,0.1398320198059082,enc,,,,,476288.0,17.0,0.00226,0.0
1775847554.751631,0.1398329734802246,enc,,,,,476298.0,17.0,0.00226,0.0
1775847554.751633,0.13983488082885742,enc,,,,,476308.0,17.0,0.00226,0.0
1775847554.8711748,0.25937676429748535,enc,,,,,476328.0,17.0,0.00226,0.0
1775847554.87198,0.26018190383911133,enc,,,,,476348.0,17.0,0.00226,0.0
1775847554.871982,0.26018404960632324,enc,,,,,476358.0,17.0,0.00226,0.0
1775847554.871983,0.26018500328063965,enc,,,,,476368.0,17.0,0.00226,0.0
1775847554.871985,0.26018691062927246,enc,,,,,476438.0,17.0,0.00226,0.0
1775847554.871986,0.26018786430358887,enc,,,,,476448.0,17.0,0.00226,0.0
1775847555.009478,0.39768004417419434,enc,,,,,476458.0,17.0,0.00226,0.0
1775847555.0094929,0.39769482612609863,enc,,,,,476468.0,17.0,0.00226,0.0
1775847555.009495,0.39769697189331055,enc,,,,,476478.0,17.0,0.00226,0.0
1775847555.0094972,0.39769911766052246,enc,,,,,476488.0,17.0,0.00226,0.0
1775847555.009498,0.39769983291625977,enc,,,,,476498.0,17.0,0.00226,0.0
1775847555.0094998,0.3977017402648926,enc,,,,,476508.0,17.0,0.00226,0.0
1775847555.009501,0.3977029323577881,enc,,,,,476518.0,17.0,0.00226,0.0
1775847555.009503,0.3977048397064209,enc,,,,,476528.0,17.0,0.00226,0.0
1775847555.009505,0.3977069854736328,enc,,,,,476538.0,17.0,0.00226,0.0
1775847555.009506,0.3977079391479492,enc,,,,,476548.0,17.0,0.00226,0.0
1775847555.12869,0.5168919563293457,enc,,,,,476558.0,17.0,0.00226,0.0
1775847555.128748,0.5169498920440674,enc,,,,,476568.0,17.0,0.00226,0.0
1775847555.12875,0.5169520378112793,enc,,,,,476578.0,17.0,0.00226,0.0
1775847555.1287522,0.5169541835784912,enc,,,,,476588.0,18.0,0.00239,0.0133
1775847555.1296792,0.5178811550140381,enc,,,,,476608.0,18.0,0.00239,0.0
1775847555.12968,0.5178818702697754,enc,,,,,476618.0,18.0,0.00239,0.0
1775847555.268394,0.6565959453582764,enc,,,,,476628.0,18.0,0.00239,0.0
1775847555.268406,0.6566078662872314,enc,,,,,476638.0,18.0,0.00239,0.0
1775847555.268407,0.656609058380127,enc,,,,,476708.0,18.0,0.00239,0.0
