host_unix_s,t_rel_s,stream,duty,vbat,i_motor,i_in,enc_millis,enc_count,position_m,velocity_mps
1775848928.113581,0.0,enc,,,,,38556.0,271.0,0.03604,0.0
1775848928.113643,6.198883056640625e-05,enc,,,,,38566.0,271.0,0.03604,0.0
1775848928.113645,6.413459777832031e-05,enc,,,,,38576.0,271.0,0.03604,0.0
1775848928.113646,6.508827209472656e-05,enc,,,,,38586.0,271.0,0.03604,0.0
1775848928.1136482,6.723403930664062e-05,enc,,,,,38596.0,271.0,0.03604,0.0
1775848928.1136498,6.890296936035156e-05,enc,,,,,38606.0,271.0,0.03604,0.0
1775848928.113651,7.009506225585938e-05,enc,,,,,38616.0,271.0,0.03604,0.0
1775848928.113653,7.200241088867188e-05,enc,,,,,38626.0,271.0,0.03604,0.0
1775848928.113654,7.295608520507812e-05,enc,,,,,38636.0,271.0,0.03604,0.0
1775848928.113656,7.510185241699219e-05,enc,,,,,38646.0,271.0,0.03604,0.0
1775848928.2475631,0.13398218154907227,enc,,,,,38656.0,271.0,0.03604,0.0
1775848928.247576,0.13399505615234375,enc,,,,,38666.0,271.0,0.03604,0.0
1775848928.247578,0.13399696350097656,enc,,,,,38676.0,271.0,0.03604,0.0
1775848928.2475798,0.13399887084960938,enc,,,,,38686.0,271.0,0.03604,0.0
1775848928.247582,0.1340010166168213,enc,,,,,38696.0,271.0,0.03604,0.0
1775848928.247583,0.1340019702911377,enc,,,,,38706.0,271.0,0.03604,0.0
1775848928.247585,0.1340041160583496,enc,,,,,38716.0,271.0,0.03604,0.0
1775848928.247586,0.13400506973266602,enc,,,,,38726.0,271.0,0.03604,0.0
1775848928.247587,0.13400602340698242,enc,,,,,38816.0,271.0,0.03604,0.0
1775848928.247589,0.13400816917419434,enc,,,,,38826.0,271.0,0.03604,0.0
1775848928.382379,0.2687981128692627,enc,,,,,38836.0,271.0,0.03604,0.0
1775848928.38286,0.26927900314331055,enc,,,,,38856.0,271.0,0.03604,0.0
1775848928.382862,0.26928114891052246,enc,,,,,38866.0,271.0,0.03604,0.0
1775848928.382863,0.26928210258483887,enc,,,,,38876.0,271.0,0.03604,0.0
1775848928.3828638,0.26928281784057617,enc,,,,,38886.0,271.0,0.03604,0.0
1775848928.382866,0.2692849636077881,enc,,,,,38896.0,271.0,0.03604,0.0
1775848928.3828669,0.2692859172821045,enc,,,,,38906.0,271.0,0.03604,0.0
1775848928.382868,0.269287109375,enc,,,,,38916.0,271.0,0.03604,0.0
1775848928.382869,0.2692880630493164,enc,,,,,38926.0,271.0,0.03604,0.0
1775848928.3828712,0.2692902088165283,enc,,,,,38936.0,271.0,0.03604,0.0
1775848928.382872,0.2692911624908447,enc,,,,,38946.0,271.0,0.03604,0.0
1775848928.5140858,0.40050482749938965,enc,,,,,38956.0,271.0,0.03604,0.0
1775848928.514143,0.400562047958374,enc,,,,,38966.0,271.0,0.03604,0.0
1775848928.5141451,0.40056419372558594,enc,,,,,38976.0,272.0,0.03617,0.0133
1775848928.514147,0.40056610107421875,enc,,,,,38986.0,272.0,0.03617,0.0
1775848928.514148,0.40056705474853516,enc,,,,,38996.0,272.0,0.03617,0.0
1775848928.515404,0.4018230438232422,enc,,,,,39096.0,271.0,0.03604,0.0
1775848928.650354,0.5367729663848877,enc,,,,,39106.0,272.0,0.03617,0.0133
1775848928.650367,0.5367860794067383,enc,,,,,39116.0,272.0,0.03617,0.0
1775848928.650369,0.5367879867553711,enc,,,,,39126.0,272.0,0.03617,0.0
1775848928.65037,0.5367889404296875,enc,,,,,39136.0,272.0,0.03617,0.0
1775848928.650372,0.5367910861968994,enc,,,,,39146.0,272.0,0.03617,0.0
1775848928.6503732,0.5367922782897949,enc,,,,,39156.0,272.0,0.03617,0.0
1775848928.650374,0.5367929935455322,enc,,,,,39166.0,272.0,0.03617,0.0
1775848928.650375,0.5367939472198486,enc,,,,,39176.0,272.0,0.03617,0.0
1775848928.6503758,0.536794900894165,enc,,,,,39186.0,272.0,0.03617,0.0
1775848928.650378,0.536797046661377,enc,,,,,39196.0,272.0,0.03617,0.0
1775848928.650379,0.5367980003356934,enc,,,,,39206.0,271.0,0.03604,-0.0133
1775848928.65038,0.5367989540100098,enc,,,,,39216.0,271.0,0.03604,0.0
1775848928.650381,0.5368001461029053,enc,,,,,39226.0,271.0,0.03604,0.0
1775848928.765566,0.6519851684570312,enc,,,,,39236.0,271.0,0.03604,0.0
1775848928.765936,0.6523549556732178,enc,,,,,39256.0,271.0,0.03604,0.0
1775848928.7659378,0.6523568630218506,enc,,,,,39266.0,271.0,0.03604,0.0
1775848928.765939,0.6523580551147461,enc,,,,,39276.0,271.0,0.03604,0.0
1775848928.76594,0.6523590087890625,enc,,,,,39286.0,271.0,0.03604,0.0
1775848928.765941,0.6523599624633789,enc,,,,,39356.0,271.0,0.03604,0.0
1775848928.765943,0.6523621082305908,enc,,,,,39366.0,271.0,0.03604,0.0
1775848928.898475,0.7848939895629883,enc,,,,,39376.0,271.0,0.03604,0.0
1775848928.898967,0.7853860855102539,enc,,,,,39396.0,271.0,0.03604,0.0
1775848928.8989692,0.7853882312774658,enc,,,,,39406.0,270.0,0.03591,-0.0133
1775848928.8989708,0.7853899002075195,enc,,,,,39416.0,270.0,0.03591,0.0
1775848928.8989718,0.7853908538818359,enc,,,,,39426.0,270.0,0.03591,0.0
1775848928.898973,0.7853920459747314,enc,,,,,39436.0,270.0,0.03591,0.0
1775848928.898974,0.7853929996490479,enc,,,,,39446.0,270.0,0.03591,0.0
1775848928.898976,0.7853951454162598,enc,,,,,39456.0,270.0,0.03591,0.0
1775848928.898977,0.7853960990905762,enc,,,,,39466.0,269.0,0.03578,-0.0133
1775848929.032076,0.9184949398040771,enc,,,,,39476.0,269.0,0.03578,0.0
1775848929.032133,0.9185521602630615,enc,,,,,39486.0,269.0,0.03578,0.0
1775848929.032135,0.9185540676116943,enc,,,,,39496.0,269.0,0.03578,0.0
1775848929.032137,0.9185559749603271,enc,,,,,39506.0,269.0,0.03578,0.0
1775848929.0330582,0.9194772243499756,enc,,,,,39526.0,269.0,0.03578,0.0
1775848929.0330591,0.919478178024292,enc,,,,,39596.0,266.0,0.03538,0.0
1775848929.03306,0.9194791316986084,enc,,,,,39606.0,266.0,0.03538,0.0
1775848929.033062,0.9194810390472412,enc,,,,,39616.0,265.0,0.03524,-0.0133
1775848929.033063,0.9194819927215576,enc,,,,,39626.0,265.0,0.03524,0.0
1775848929.033064,0.919482946395874,enc,,,,,39636.0,265.0,0.03524,0.0
1775848929.1647658,1.051184892654419,enc,,,,,39646.0,266.0,0.03538,0.0133
1775848929.164781,1.0512001514434814,enc,,,,,39656.0,266.0,0.03538,0.0
1775848929.164783,1.0512020587921143,enc,,,,,39666.0,266.0,0.03538,0.0
1775848929.164785,1.051203966140747,enc,,,,,39676.0,266.0,0.03538,0.0
1775848929.164786,1.0512051582336426,enc,,,,,39686.0,266.0,0.03538,0.0
1775848929.164788,1.0512070655822754,enc,,,,,39696.0,265.0,0.03524,-0.0133
1775848929.164789,1.0512080192565918,enc,,,,,39706.0,265.0,0.03524,0.0
1775848929.16479,1.0512089729309082,enc,,,,,39716.0,265.0,0.03524,0.0
1775848929.164791,1.0512101650238037,enc,,,,,39726.0,265.0,0.03524,0.0
1775848929.164792,1.0512111186981201,enc,,,,,39736.0,265.0,0.03524,0.0
1775848929.281042,1.1674611568450928,enc,,,,,39746.0,265.0,0.03524,0.0
1775848929.2810502,1.1674692630767822,enc,,,,,39756.0,265.0,0.03524,0.0
1775848929.281051,1.1674699783325195,enc,,,,,39766.0,265.0,0.03524,0.0
1775848929.2810528,1.1674718856811523,enc,,,,,39776.0,265.0,0.03524,0.0
1775848929.28143,1.167849063873291,enc,,,,,39796.0,265.0,0.03524,0.0
1775848929.2814322,1.167851209640503,enc,,,,,39866.0,265.0,0.03524,0.0
1775848929.281433,1.1678521633148193,enc,,,,,39876.0,265.0,0.03524,0.0
1775848929.413548,1.2999670505523682,enc,,,,,39886.0,265.0,0.03524,0.0
1775848929.414049,1.3004679679870605,enc,,,,,39906.0,265.0,0.03524,0.0
1775848929.414051,1.3004701137542725,enc,,,,,39916.0,265.0,0.03524,0.0
1775848929.414052,1.3004710674285889,enc,,,,,39926.0,265.0,0.03524,0.0
1775848929.4140532,1.3004722595214844,enc,,,,,39936.0,265.0,0.03524,0.0
1775848929.414054,1.3004729747772217,enc,,,,,39946.0,265.0,0.03524,0.0
1775848929.4140558,1.3004748821258545,enc,,,,,39956.0,265.0,0.03524,0.0
1775848929.414057,1.30047607421875,enc,,,,,39966.0,266.0,0.03538,0.0133
1775848929.414058,1.3004770278930664,enc,,,,,39976.0,266.0,0.03538,0.0
1775848929.547879,1.434298038482666,enc,,,,,39986.0,266.0,0.03538,0.0
1775848929.547895,1.4343140125274658,enc,,,,,39996.0,266.0,0.03538,0.0
1775848929.547897,1.4343161582946777,enc,,,,,40006.0,266.0,0.03538,0.0
1775848929.547898,1.4343171119689941,enc,,,,,40016.0,266.0,0.03538,0.0
1775848929.549133,1.4355521202087402,enc,,,,,40119.0,266.0,0.03538,0.0
1775848929.5491352,1.4355542659759521,enc,,,,,40129.0,266.0,0.03538,0.0
1775848929.549136,1.4355549812316895,enc,,,,,40139.0,266.0,0.03538,0.0
1775848929.5491369,1.4355559349060059,enc,,,,,40149.0,266.0,0.03538,0.0
1775848929.681589,1.5680079460144043,enc,,,,,40159.0,267.0,0.03551,0.0133
1775848929.681603,1.5680220127105713,enc,,,,,40169.0,267.0,0.03551,0.0
1775848929.681605,1.5680241584777832,enc,,,,,40179.0,267.0,0.03551,0.0
1775848929.681607,1.568026065826416,enc,,,,,40189.0,268.0,0.03564,0.0133
1775848929.681608,1.5680270195007324,enc,,,,,40199.0,268.0,0.03564,0.0
1775848929.68161,1.5680291652679443,enc,,,,,40209.0,268.0,0.03564,0.0
1775848929.681611,1.5680301189422607,enc,,,,,40219.0,268.0,0.03564,0.0
1775848929.681613,1.5680320262908936,enc,,,,,40229.0,268.0,0.03564,0.0
1775848929.6816142,1.568033218383789,enc,,,,,40239.0,268.0,0.03564,0.0
1775848929.7953138,1.6817328929901123,enc,,,,,40249.0,267.0,0.03551,-0.0133
1775848929.795323,1.6817419528961182,enc,,,,,40259.0,267.0,0.03551,0.0
1775848929.7953238,1.6817429065704346,enc,,,,,40269.0,267.0,0.03551,0.0
1775848929.795325,1.68174409866333,enc,,,,,40279.0,267.0,0.03551,0.0
1775848929.795327,1.681746006011963,enc,,,,,40289.0,267.0,0.03551,0.0
1775848929.795966,1.682384967803955,enc,,,,,40309.0,267.0,0.03551,0.0
1775848929.7959669,1.6823859214782715,enc,,,,,40379.0,267.0,0.03551,0.0
1775848929.927665,1.8140840530395508,enc,,,,,40389.0,267.0,0.03551,0.0
1775848929.92768,1.8140990734100342,enc,,,,,40399.0,268.0,0.03564,0.0133
1775848929.928092,1.8145110607147217,enc,,,,,40409.0,268.0,0.03564,0.0
1775848929.928093,1.814512014389038,enc,,,,,40419.0,268.0,0.03564,0.0
1775848929.9280949,1.814513921737671,enc,,,,,40429.0,268.0,0.03564,0.0
1775848929.928096,1.8145151138305664,enc,,,,,40439.0,268.0,0.03564,0.0
1775848929.928097,1.8145160675048828,enc,,,,,40449.0,268.0,0.03564,0.0
1775848929.928098,1.8145170211791992,enc,,,,,40459.0,268.0,0.03564,0.0
1775848930.0635362,1.9499552249908447,enc,,,,,40469.0,268.0,0.03564,0.0
1775848930.0635478,1.9499669075012207,enc,,,,,40479.0,268.0,0.03564,0.0
1775848930.06355,1.9499690532684326,enc,,,,,40489.0,268.0,0.03564,0.0
1775848930.063551,1.949970006942749,enc,,,,,40499.0,268.0,0.03564,0.0
1775848930.063553,1.949972152709961,enc,,,,,40509.0,268.0,0.03564,0.0
1775848930.063554,1.9499731063842773,enc,,,,,40519.0,268.0,0.03564,0.0
1775848930.063555,1.9499740600585938,enc,,,,,40529.0,268.0,0.03564,0.0
1775848930.0640142,1.9504332542419434,enc,,,,,40629.0,268.0,0.03564,0.0
1775848930.0640152,1.9504342079162598,enc,,,,,40639.0,268.0,0.03564,0.0
1775848930.0640168,1.9504358768463135,enc,,,,,40649.0,268.0,0.03564,0.0
1775848930.195667,2.0820860862731934,enc,,,,,40659.0,268.0,0.03564,0.0
1775848930.19568,2.082098960876465,enc,,,,,40669.0,268.0,0.03564,0.0
1775848930.195682,2.0821011066436768,enc,,,,,40679.0,268.0,0.03564,0.0
1775848930.1956842,2.0821032524108887,enc,,,,,40689.0,268.0,0.03564,0.0
1775848930.1956851,2.082104206085205,enc,,,,,40699.0,268.0,0.03564,0.0
1775848930.1956868,2.082105875015259,enc,,,,,40709.0,268.0,0.03564,0.0
1775848930.195689,2.0821080207824707,enc,,,,,40719.0,268.0,0.03564,0.0
1775848930.19569,2.082108974456787,enc,,,,,40729.0,268.0,0.03564,0.0
1775848930.195691,2.0821101665496826,enc,,,,,40739.0,268.0,0.03564,0.0
1775848930.3111649,2.1975839138031006,enc,,,,,40749.0,268.0,0.03564,0.0
1775848930.311174,2.1975929737091064,enc,,,,,40759.0,268.0,0.03564,0.0
1775848930.3111749,2.197593927383423,enc,,,,,40769.0,268.0,0.03564,0.0
1775848930.3111758,2.1975948810577393,enc,,,,,40779.0,268.0,0.03564,0.0
1775848930.311178,2.197597026824951,enc,,,,,40789.0,268.0,0.03564,0.0
1775848930.311179,2.1975979804992676,enc,,,,,40799.0,268.0,0.03564,0.0
1775848930.31182,2.1982390880584717,enc,,,,,40889.0,267.0,0.03551,-0.0133
1775848930.445279,2.331697940826416,enc,,,,,40899.0,267.0,0.03551,0.0
1775848930.445293,2.331712007522583,enc,,,,,40909.0,267.0,0.03551,0.0
1775848930.445294,2.3317129611968994,enc,,,,,40919.0,267.0,0.03551,0.0
1775848930.445296,2.3317151069641113,enc,,,,,40929.0,267.0,0.03551,0.0
1775848930.445297,2.3317160606384277,enc,,,,,40939.0,267.0,0.03551,0.0
1775848930.4456902,2.332109212875366,enc,,,,,40949.0,267.0,0.03551,0.0
1775848930.4456909,2.3321099281311035,enc,,,,,40959.0,267.0,0.03551,0.0
1775848930.445693,2.3321120738983154,enc,,,,,40969.0,267.0,0.03551,0.0
1775848930.445694,2.332113027572632,enc,,,,,40979.0,267.0,0.03551,0.0
1775848930.445695,2.3321139812469482,enc,,,,,40989.0,267.0,0.03551,0.0
1775848930.445696,2.3321151733398438,enc,,,,,40999.0,267.0,0.03551,0.0
1775848930.445697,2.33211612701416,enc,,,,,41009.0,267.0,0.03551,0.0
1775848930.578756,2.465175151824951,enc,,,,,41019.0,267.0,0.03551,0.0
1775848930.578826,2.465245008468628,enc,,,,,41029.0,267.0,0.03551,0.0
1775848930.578828,2.46524715423584,enc,,,,,41039.0,267.0,0.03551,0.0
1775848930.579521,2.465939998626709,enc,,,,,41129.0,267.0,0.03551,-0.0133
1775848930.579522,2.4659409523010254,enc,,,,,41139.0,267.0,0.03551,0.0
1775848930.579523,2.465942144393921,enc,,,,,41149.0,267.0,0.03551,0.0
1775848930.713063,2.5994820594787598,enc,,,,,41159.0,267.0,0.03551,0.0
1775848930.713077,2.5994961261749268,enc,,,,,41169.0,267.0,0.03551,0.0
1775848930.713079,2.5994980335235596,enc,,,,,41179.0,268.0,0.03564,0.0133
1775848930.7130802,2.599499225616455,enc,,,,,41189.0,272.0,0.03617,0.0532
1775848930.713082,2.599501132965088,enc,,,,,41199.0,276.0,0.03671,0.0532
1775848930.7130828,2.599501848220825,enc,,,,,41209.0,282.0,0.0375,0.0798
1775848930.713085,2.599503993988037,enc,,,,,41219.0,289.0,0.03844,0.0931
1775848930.713086,2.5995049476623535,enc,,,,,41229.0,302.0,0.04016,0.1729
1775848930.713087,2.599506139755249,enc,,,,,41239.0,319.0,0.04243,0.2261
1775848930.713088,2.5995070934295654,enc,,,,,41249.0,338.0,0.04495,0.2527
1775848930.713089,2.599508047103882,enc,,,,,41259.0,358.0,0.04761,0.266
1775848930.828439,2.714858055114746,enc,,,,,41269.0,381.0,0.05067,0.3059
1775848930.828448,2.714867115020752,enc,,,,,41279.0,408.0,0.05426,0.3591
1775848930.828449,2.7148680686950684,enc,,,,,41289.0,440.0,0.05852,0.4256
1775848930.8284512,2.7148702144622803,enc,,,,,41299.0,476.0,0.06331,0.4788
1775848930.828452,2.7148711681365967,enc,,,,,41369.0,800.0,0.1064,0.7182
1775848930.828453,2.714872121810913,enc,,,,,41379.0,856.0,0.11384,0.7448
1775848930.828455,2.714874029159546,enc,,,,,41389.0,915.0,0.12169,0.7847
1775848930.828456,2.7148749828338623,enc,,,,,41399.0,976.0,0.1298,0.8113
1775848930.961329,2.847748041152954,enc,,,,,41409.0,1041.0,0.13845,0.8645
1775848930.961344,2.8477630615234375,enc,,,,,41419.0,1111.0,0.14776,0.931
1775848930.961346,2.8477649688720703,enc,,,,,41429.0,1184.0,0.15746,0.9709
1775848930.961347,2.847766160964966,enc,,,,,41439.0,1261.0,0.16771,1.0241
1775848930.961348,2.8477671146392822,enc,,,,,41449.0,1339.0,0.17808,1.0374
1775848930.961726,2.848145008087158,enc,,,,,41459.0,1417.0,0.18845,1.0374
1775848930.961727,2.8481459617614746,enc,,,,,41469.0,1498.0,0.19923,1.0773
1775848930.961728,2.84814715385437,enc,,,,,41479.0,1582.0,0.2104,1.1172
1775848930.961729,2.8481481075286865,enc,,,,,41489.0,1670.0,0.2221,1.1703
1775848930.96173,2.848149061203003,enc,,,,,41499.0,1765.0,0.23473,1.2634
1775848931.093089,2.9795081615448,enc,,,,,41509.0,1863.0,0.24777,1.3033
1775848931.093149,2.9795680046081543,enc,,,,,41519.0,1961.0,0.2608,1.3033
1775848931.093151,2.979570150375366,enc,,,,,41529.0,2058.0,0.2737,1.29
1775848931.093152,2.9795711040496826,enc,,,,,41539.0,2156.0,0.28674,1.3033
1775848931.093153,2.979572057723999,enc,,,,,41549.0,2259.0,0.30043,1.3698
1775848931.093154,2.9795730113983154,enc,,,,,41559.0,2368.0,0.31493,1.4496
1775848931.093156,2.9795751571655273,enc,,,,,41569.0,2483.0,0.33022,1.5294
1775848931.093157,2.9795761108398438,enc,,,,,41639.0,3331.0,0.443,1.7023
1775848931.093158,2.97957706451416,enc,,,,,41649.0,3462.0,0.46043,1.7422
1775848931.228797,3.115216016769409,enc,,,,,41659.0,3597.0,0.47838,1.7954
1775848931.228811,3.115230083465576,enc,,,,,41669.0,3733.0,0.49647,1.8087
1775848931.2288132,3.115232229232788,enc,,,,,41679.0,3870.0,0.51469,1.822
1775848931.228814,3.1152329444885254,enc,,,,,41689.0,4012.0,0.53357,1.8885
1775848931.2288158,3.115234851837158,enc,,,,,41699.0,4158.0,0.55299,1.9417
1775848931.228817,3.1152360439300537,enc,,,,,41709.0,4304.0,0.57241,1.9417
1775848931.228818,3.11523699760437,enc,,,,,41719.0,4455.0,0.59249,2.0082
1775848931.228819,3.1152379512786865,enc,,,,,41729.0,4608.0,0.61284,2.0348
1775848931.22882,3.115239143371582,enc,,,,,41739.0,4764.0,0.63358,2.0747
1775848931.228821,3.1152400970458984,enc,,,,,41749.0,4921.0,0.65446,2.088
1775848931.228822,3.115241050720215,enc,,,,,41759.0,5081.0,0.67574,2.1279
1775848931.228824,3.1152429580688477,enc,,,,,41769.0,5243.0,0.69729,2.1545
1775848931.228825,3.115244150161743,enc,,,,,41779.0,5409.0,0.71937,2.2077
1775848931.346389,3.2328081130981445,enc,,,,,41789.0,5578.0,0.74184,2.2476
1775848931.346397,3.232815980911255,enc,,,,,41799.0,5750.0,0.76472,2.2875
1775848931.3464,3.232819080352783,enc,,,,,41889.0,7408.0,0.98522,2.5934
1775848931.346401,3.2328200340270996,enc,,,,,41899.0,7605.0,1.01142,2.62
1775848931.346402,3.232820987701416,enc,,,,,41909.0,7805.0,1.03802,2.6599
1775848931.3464031,3.2328221797943115,enc,,,,,41919.0,8008.0,1.06502,2.6998
1775848931.346404,3.232823133468628,enc,,,,,41929.0,8214.0,1.09241,2.7397
1775848931.346405,3.2328240871429443,enc,,,,,41939.0,8424.0,1.12034,2.7929
1775848931.480671,3.3670899868011475,enc,,,,,41949.0,8635.0,1.1484,2.8062
1775848931.480685,3.3671040534973145,enc,,,,,41959.0,8847.0,1.1766,2.8195
1775848931.481041,3.367460012435913,enc,,,,,41969.0,9062.0,1.20519,2.8594
1775848931.481042,3.3674609661102295,enc,,,,,41979.0,9280.0,1.23419,2.8993
1775848931.481044,3.3674631118774414,enc,,,,,41989.0,9502.0,1.26371,2.9525
1775848931.481045,3.367464065551758,enc,,,,,41999.0,9725.0,1.29337,2.9658
1775848931.481046,3.367465019226074,enc,,,,,42009.0,9951.0,1.32342,3.0057
1775848931.4810472,3.3674662113189697,enc,,,,,42019.0,10180.0,1.35388,3.0456
1775848931.481049,3.3674681186676025,enc,,,,,42030.0,10433.0,1.38753,3.0589
1775848931.48105,3.367469072341919,enc,,,,,42040.0,10666.0,1.41851,3.0988
1775848931.614948,3.5013670921325684,enc,,,,,42050.0,10903.0,1.45003,3.152
1775848931.614957,3.501376152038574,enc,,,,,42060.0,11141.0,1.48169,3.1653
