host_unix_s,t_rel_s,stream,duty,vbat,i_motor,i_in,enc_millis,enc_count,position_m,velocity_mps
1775849366.395765,0.0,enc,,,,,127044.0,43.0,0.00572,0.0
1775849366.395767,1.9073486328125e-06,enc,,,,,127054.0,43.0,0.00572,0.0
1775849366.3957691,4.0531158447265625e-06,enc,,,,,127064.0,43.0,0.00572,0.0
1775849366.3957708,5.7220458984375e-06,enc,,,,,127074.0,43.0,0.00572,0.0
1775849366.395772,6.9141387939453125e-06,enc,,,,,127084.0,43.0,0.00572,0.0
1775849366.395774,8.821487426757812e-06,enc,,,,,127094.0,43.0,0.00572,0.0
1775849366.395775,1.0013580322265625e-05,enc,,,,,127104.0,43.0,0.00572,0.0
1775849366.533132,0.13736701011657715,enc,,,,,127174.0,43.0,0.00572,0.0
1775849366.533146,0.13738083839416504,enc,,,,,127184.0,43.0,0.00572,0.0
1775849366.533149,0.13738393783569336,enc,,,,,127194.0,43.0,0.00572,0.0
1775849366.533151,0.13738584518432617,enc,,,,,127204.0,43.0,0.00572,0.0
1775849366.533152,0.13738703727722168,enc,,,,,127214.0,43.0,0.00572,0.0
1775849366.533153,0.13738799095153809,enc,,,,,127224.0,43.0,0.00572,0.0
1775849366.533155,0.1373898983001709,enc,,,,,127234.0,43.0,0.00572,0.0
1775849366.5331562,0.1373910903930664,enc,,,,,127244.0,43.0,0.00572,0.0
1775849366.533157,0.1373920440673828,enc,,,,,127254.0,43.0,0.00572,0.0
1775849366.5331578,0.13739275932312012,enc,,,,,127264.0,43.0,0.00572,0.0
1775849366.53316,0.13739490509033203,enc,,,,,127274.0,43.0,0.00572,0.0
1775849366.6659489,0.270183801651001,enc,,,,,127364.0,43.0,0.00572,0.0
1775849366.666538,0.27077293395996094,telem,0.0,37.9,0.28,0.0,,,,
1775849366.666542,0.27077698707580566,enc,,,,,127374.0,43.0,0.00572,0.0
1775849366.666543,0.27077794075012207,enc,,,,,127384.0,43.0,0.00572,0.0
1775849366.666545,0.2707798480987549,enc,,,,,127394.0,43.0,0.00572,0.0
1775849366.666546,0.2707810401916504,enc,,,,,127404.0,43.0,0.00572,0.0
1775849366.666547,0.2707819938659668,enc,,,,,127414.0,43.0,0.00572,0.0
1775849366.666549,0.2707839012145996,enc,,,,,127424.0,43.0,0.00572,0.0
1775849366.66655,0.270784854888916,enc,,,,,127434.0,43.0,0.00572,0.0
1775849366.666551,0.2707860469818115,enc,,,,,127444.0,43.0,0.00572,0.0
1775849366.801785,0.406019926071167,enc,,,,,127454.0,43.0,0.00572,0.0
1775849366.801798,0.4060330390930176,enc,,,,,127464.0,43.0,0.00572,0.0
1775849366.8018,0.4060349464416504,enc,,,,,127474.0,43.0,0.00572,0.0
1775849366.801801,0.4060359001159668,enc,,,,,127484.0,43.0,0.00572,0.0
