host_unix_s,t_rel_s,stream,duty,vbat,i_motor,i_in,enc_millis,enc_count,position_m,velocity_mps
1775849797.0005162,0.0,enc,,,,,225499.0,403.0,0.0536,0.0
1775849797.0005271,1.0967254638671875e-05,enc,,,,,225509.0,403.0,0.0536,0.0
1775849797.0005288,1.2636184692382812e-05,enc,,,,,225519.0,403.0,0.0536,0.0
1775849797.0015612,0.0010449886322021484,enc,,,,,225539.0,404.0,0.05373,0.0133
1775849797.0015628,0.0010466575622558594,enc,,,,,225609.0,404.0,0.05373,0.0
1775849797.0015638,0.0010476112365722656,enc,,,,,225619.0,404.0,0.05373,0.0
1775849797.001565,0.0010488033294677734,enc,,,,,225629.0,404.0,0.05373,0.0
1775849797.001566,0.0010497570037841797,enc,,,,,225639.0,404.0,0.05373,0.0
1775849797.001568,0.0010519027709960938,enc,,,,,225649.0,404.0,0.05373,0.0
1775849797.001569,0.0010528564453125,enc,,,,,225659.0,404.0,0.05373,0.0
1775849797.136776,0.1362597942352295,enc,,,,,225669.0,404.0,0.05373,0.0
1775849797.136789,0.13627290725708008,enc,,,,,225679.0,404.0,0.05373,0.0
1775849797.13679,0.13627386093139648,enc,,,,,225689.0,404.0,0.05373,0.0
1775849797.136791,0.1362748146057129,enc,,,,,225699.0,404.0,0.05373,0.0
1775849797.1367922,0.1362760066986084,enc,,,,,225709.0,404.0,0.05373,0.0
1775849797.136794,0.1362779140472412,enc,,,,,225719.0,404.0,0.05373,0.0
1775849797.1367948,0.13627862930297852,enc,,,,,225729.0,404.0,0.05373,0.0
1775849797.273398,0.27288174629211426,enc,,,,,225829.0,404.0,0.05373,0.0
1775849797.27341,0.27289390563964844,enc,,,,,225839.0,404.0,0.05373,0.0
1775849797.273412,0.27289581298828125,enc,,,,,225849.0,404.0,0.05373,0.0
1775849797.2734132,0.27289700508117676,enc,,,,,225859.0,404.0,0.05373,0.0
1775849797.2734149,0.27289867401123047,enc,,,,,225869.0,404.0,0.05373,0.0
1775849797.273416,0.272899866104126,enc,,,,,225879.0,404.0,0.05373,0.0
1775849797.273417,0.2729008197784424,enc,,,,,225889.0,404.0,0.05373,0.0
1775849797.273418,0.2729017734527588,enc,,,,,225899.0,404.0,0.05373,0.0
1775849797.273419,0.2729027271270752,enc,,,,,225909.0,404.0,0.05373,0.0
1775849797.273421,0.2729048728942871,enc,,,,,225919.0,404.0,0.05373,0.0
1775849797.4065669,0.4060506820678711,enc,,,,,225929.0,404.0,0.05373,0.0
1775849797.40659,0.40607380867004395,enc,,,,,225939.0,404.0,0.05373,0.0
1775849797.407402,0.40688586235046387,enc,,,,,225959.0,403.0,0.0536,0.0
1775849797.407404,0.4068877696990967,enc,,,,,226029.0,422.0,0.05612,0.1197
1775849797.4074051,0.4068889617919922,enc,,,,,226039.0,431.0,0.05732,0.1197
1775849797.407406,0.4068899154663086,enc,,,,,226049.0,443.0,0.05892,0.1596
