host_unix_s,t_rel_s,stream,rpm,duty,vbat,i_motor,i_in,t_mos,t_motor,tach,tach_abs,fault,enc_millis,enc_count,position_m,velocity_mps
1775847213.43193,0.10421109199523926,enc,,,,,,,,,,,134889,36495,4.85362,0.0
1775847213.431941,0.10422205924987793,enc,,,,,,,,,,,134899,36495,4.85362,0.0
1775847213.432516,0.1047971248626709,enc,,,,,,,,,,,134909,36495,4.85362,0.0
1775847213.432517,0.1047980785369873,enc,,,,,,,,,,,134919,36495,4.85362,0.0
1775847213.433155,0.10543608665466309,enc,,,,,,,,,,,134939,36495,4.85362,0.0
1775847213.4331572,0.105438232421875,enc,,,,,,,,,,,134949,36495,4.85362,0.0
1775847213.433158,0.1054389476776123,enc,,,,,,,,,,,134959,36495,4.85362,0.0
1775847213.569196,0.24147701263427734,enc,,,,,,,,,,,134969,36495,4.85362,0.0
1775847213.569206,0.2414870262145996,enc,,,,,,,,,,,134979,36495,4.85362,0.0
1775847213.569207,0.24148797988891602,enc,,,,,,,,,,,134989,36495,4.85362,0.0
1775847213.569209,0.24149012565612793,enc,,,,,,,,,,,134999,36495,4.85362,0.0
1775847213.56921,0.24149107933044434,enc,,,,,,,,,,,135009,36495,4.85362,0.0
1775847213.5692108,0.24149179458618164,enc,,,,,,,,,,,135019,36495,4.85362,0.0
1775847213.569212,0.24149298667907715,enc,,,,,,,,,,,135029,36495,4.85362,0.0
1775847213.569516,0.24179697036743164,enc,,,,,,,,,,,135039,36495,4.85362,0.0
1775847213.5695171,0.24179816246032715,enc,,,,,,,,,,,135049,36488,4.85269,-0.0931
1775847213.5695202,0.24180126190185547,enc,,,,,,,,,,,135132,36382,4.83859,-0.2128
1775847213.7022588,0.374539852142334,enc,,,,,,,,,,,135142,36363,4.83606,-0.2527
1775847213.7022772,0.3745582103729248,enc,,,,,,,,,,,135152,36344,4.83354,-0.2527
1775847213.7022789,0.3745598793029785,enc,,,,,,,,,,,135162,36328,4.83141,-0.2128
1775847213.703064,0.37534499168395996,enc,,,,,,,,,,,135182,36302,4.82795,-0.1596
1775847213.703066,0.3753471374511719,enc,,,,,,,,,,,135192,36290,4.82636,-0.1596
1775847213.7030668,0.3753478527069092,enc,,,,,,,,,,,135202,36278,4.82476,-0.1596
1775847213.703068,0.3753490447998047,enc,,,,,,,,,,,135212,36262,4.82263,-0.2128
1775847213.703069,0.3753499984741211,enc,,,,,,,,,,,135222,36244,4.82024,-0.2394
1775847213.8385658,0.5108468532562256,enc,,,,,,,,,,,135232,36227,4.81798,-0.2261
1775847213.838581,0.5108621120452881,enc,,,,,,,,,,,135242,36213,4.81611,-0.1862
1775847213.838583,0.5108640193939209,enc,,,,,,,,,,,135252,36201,4.81452,-0.1596
1775847213.838584,0.5108649730682373,enc,,,,,,,,,,,135262,36190,4.81306,-0.1463
1775847213.8385851,0.5108661651611328,enc,,,,,,,,,,,135272,36180,4.81173,-0.133
1775847213.838586,0.5108671188354492,enc,,,,,,,,,,,135282,36170,4.8104,-0.133
1775847213.838588,0.510869026184082,enc,,,,,,,,,,,135292,36159,4.80893,-0.1463
1775847213.838589,0.5108699798583984,enc,,,,,,,,,,,135302,36146,4.8072,-0.1729
1775847213.83859,0.5108709335327148,enc,,,,,,,,,,,135312,36126,4.80454,-0.266
1775847213.8385909,0.5108718872070312,enc,,,,,,,,,,,135322,36108,4.80215,-0.2394
1775847213.838592,0.5108730792999268,enc,,,,,,,,,,,135392,36015,4.78978,-0.2527
1775847213.955331,0.6276121139526367,enc,,,,,,,,,,,135402,35994,4.78699,-0.2793
1775847213.9553401,0.6276211738586426,enc,,,,,,,,,,,135412,35976,4.7846,-0.2394
1775847213.955341,0.627622127532959,enc,,,,,,,,,,,135422,35962,4.78273,-0.1862
1775847213.955342,0.6276230812072754,enc,,,,,,,,,,,135432,35950,4.78114,-0.1596
1775847213.9556649,0.6279458999633789,telem,0.0,0.04,37.9,6.66,0.26,27.8,-80.1,0,0,0,,,,
1775847213.955667,0.6279480457305908,enc,,,,,,,,,,,135442,35941,4.77994,-0.1197
1775847213.955668,0.6279489994049072,enc,,,,,,,,,,,135452,35930,4.77848,-0.1463
1775847213.95567,0.6279511451721191,enc,,,,,,,,,,,135462,35917,4.77675,-0.1729
1775847214.089001,0.7612819671630859,enc,,,,,,,,,,,135472,35898,4.77422,-0.2527
1775847214.089014,0.7612950801849365,enc,,,,,,,,,,,135482,35878,4.77156,-0.266
1775847214.089015,0.7612960338592529,enc,,,,,,,,,,,135492,35860,4.76917,-0.2394
1775847214.089016,0.7612969875335693,enc,,,,,,,,,,,135502,35846,4.76731,-0.1862
1775847214.089018,0.7612991333007812,enc,,,,,,,,,,,135512,35834,4.76571,-0.1596
1775847214.0890188,0.7612998485565186,enc,,,,,,,,,,,135522,35824,4.76438,-0.133
1775847214.08902,0.7613010406494141,enc,,,,,,,,,,,135532,35814,4.76305,-0.133
1775847214.089021,0.7613019943237305,enc,,,,,,,,,,,135603,35711,4.74935,-0.1463
1775847214.089022,0.7613029479980469,enc,,,,,,,,,,,135613,35700,4.74789,-0.1463
1775847214.089024,0.7613050937652588,enc,,,,,,,,,,,135623,35689,4.74643,-0.1463
1775847214.2032719,0.8755528926849365,enc,,,,,,,,,,,135633,35678,4.74496,-0.1463
1775847214.203336,0.8756170272827148,enc,,,,,,,,,,,135643,35660,4.74257,-0.2394
1775847214.203338,0.8756189346313477,enc,,,,,,,,,,,135653,35641,4.74004,-0.2527
1775847214.20334,0.8756210803985596,enc,,,,,,,,,,,135663,35624,4.73778,-0.2261
1775847214.203341,0.875622034072876,enc,,,,,,,,,,,135673,35609,4.73579,-0.1995
1775847214.2037811,0.8760621547698975,telem,0.0,0.04,38.0,6.58,0.26,27.8,-79.6,0,0,0,,,,
1775847214.203784,0.8760650157928467,enc,,,,,,,,,,,135683,35596,4.73406,-0.1729
1775847214.203786,0.8760669231414795,enc,,,,,,,,,,,135693,35585,4.73259,-0.1463
1775847214.338917,1.0111980438232422,enc,,,,,,,,,,,135703,35574,4.73113,-0.1463
1775847214.3389308,1.01121187210083,enc,,,,,,,,,,,135713,35562,4.72954,-0.1596
1775847214.338933,1.011214017868042,enc,,,,,,,,,,,135783,35456,4.71544,-0.133
1775847214.3389351,1.011216163635254,enc,,,,,,,,,,,135793,35442,4.71358,-0.1862
1775847214.338937,1.0112180709838867,enc,,,,,,,,,,,135803,35423,4.71105,-0.2527
1775847214.338938,1.0112190246582031,enc,,,,,,,,,,,135813,35402,4.70826,-0.2793
1775847214.33894,1.011220932006836,enc,,,,,,,,,,,135823,35384,4.70586,-0.2394
1775847214.3389409,1.0112218856811523,enc,,,,,,,,,,,135833,35369,4.70387,-0.1995
1775847214.338943,1.0112240314483643,enc,,,,,,,,,,,135843,35358,4.7024,-0.1463
1775847214.338944,1.0112249851226807,enc,,,,,,,,,,,135853,35349,4.70121,-0.1197
1775847214.454698,1.126979112625122,enc,,,,,,,,,,,135863,35339,4.69988,-0.133
1775847214.454707,1.1269879341125488,enc,,,,,,,,,,,135873,35326,4.69815,-0.1729
1775847214.4547079,1.1269888877868652,enc,,,,,,,,,,,135883,35309,4.69589,-0.2261
1775847214.454709,1.1269900798797607,enc,,,,,,,,,,,135893,35289,4.69323,-0.266
1775847214.45471,1.1269910335540771,enc,,,,,,,,,,,135903,35271,4.69083,-0.2394
1775847214.454713,1.1269941329956055,enc,,,,,,,,,,,136003,35125,4.67142,-0.1862
1775847214.454714,1.1269950866699219,enc,,,,,,,,,,,136013,35114,4.66995,-0.1463
1775847214.4547148,1.1269958019256592,enc,,,,,,,,,,,136023,35103,4.66849,-0.1463
