host_unix_s,t_rel_s,stream,rpm,duty,vbat,i_motor,i_in,t_mos,t_motor,tach,tach_abs,fault,enc_millis,enc_count,position_m,velocity_mps
1775847554.611798,0.0001800060272216797,enc,,,,,,,,,,,476008,17,0.00226,0.0
1775847554.61181,0.0001919269561767578,enc,,,,,,,,,,,476018,17,0.00226,0.0
1775847554.611812,0.00019407272338867188,enc,,,,,,,,,,,476028,17,0.00226,0.0
1775847554.611813,0.00019502639770507812,enc,,,,,,,,,,,476038,17,0.00226,0.0
1775847554.611815,0.00019693374633789062,enc,,,,,,,,,,,476048,17,0.00226,0.0
1775847554.6127229,0.0011048316955566406,enc,,,,,,,,,,,476068,17,0.00226,0.0
1775847554.612725,0.0011069774627685547,enc,,,,,,,,,,,476078,17,0.00226,0.0
1775847554.612726,0.001107931137084961,enc,,,,,,,,,,,476088,17,0.00226,0.0
1775847554.751606,0.13998794555664062,enc,,,,,,,,,,,476098,17,0.00226,0.0
1775847554.751619,0.1400010585784912,enc,,,,,,,,,,,476108,17,0.00226,0.0
1775847554.751621,0.14000296592712402,enc,,,,,,,,,,,476118,17,0.00226,0.0
1775847554.7516239,0.14000582695007324,enc,,,,,,,,,,,476238,17,0.00226,0.0
1775847554.751625,0.14000701904296875,enc,,,,,,,,,,,476248,17,0.00226,0.0
1775847554.751626,0.14000797271728516,enc,,,,,,,,,,,476258,17,0.00226,0.0
1775847554.751628,0.14000988006591797,enc,,,,,,,,,,,476268,17,0.00226,0.0
1775847554.751629,0.14001107215881348,enc,,,,,,,,,,,476278,17,0.00226,0.0
1775847554.75163,0.14001202583312988,enc,,,,,,,,,,,476288,17,0.00226,0.0
1775847554.751631,0.1400129795074463,enc,,,,,,,,,,,476298,17,0.00226,0.0
1775847554.751633,0.1400148868560791,enc,,,,,,,,,,,476308,17,0.00226,0.0
1775847554.8711748,0.25955677032470703,enc,,,,,,,,,,,476328,17,0.00226,0.0
1775847554.87198,0.260361909866333,enc,,,,,,,,,,,476348,17,0.00226,0.0
1775847554.871982,0.2603640556335449,enc,,,,,,,,,,,476358,17,0.00226,0.0
1775847554.871983,0.26036500930786133,enc,,,,,,,,,,,476368,17,0.00226,0.0
1775847554.871985,0.26036691665649414,enc,,,,,,,,,,,476438,17,0.00226,0.0
1775847554.871986,0.26036787033081055,enc,,,,,,,,,,,476448,17,0.00226,0.0
1775847555.0094779,0.3978598117828369,enc,,,,,,,,,,,476458,17,0.00226,0.0
1775847555.0094929,0.3978748321533203,enc,,,,,,,,,,,476468,17,0.00226,0.0
1775847555.009495,0.3978769779205322,enc,,,,,,,,,,,476478,17,0.00226,0.0
1775847555.0094972,0.39787912368774414,enc,,,,,,,,,,,476488,17,0.00226,0.0
1775847555.0094981,0.39788007736206055,enc,,,,,,,,,,,476498,17,0.00226,0.0
1775847555.0094998,0.39788174629211426,enc,,,,,,,,,,,476508,17,0.00226,0.0
1775847555.009501,0.39788293838500977,enc,,,,,,,,,,,476518,17,0.00226,0.0
1775847555.009503,0.3978848457336426,enc,,,,,,,,,,,476528,17,0.00226,0.0
1775847555.009505,0.3978869915008545,enc,,,,,,,,,,,476538,17,0.00226,0.0
1775847555.009506,0.3978879451751709,enc,,,,,,,,,,,476548,17,0.00226,0.0
1775847555.12869,0.5170719623565674,enc,,,,,,,,,,,476558,17,0.00226,0.0
1775847555.128748,0.5171298980712891,enc,,,,,,,,,,,476568,17,0.00226,0.0
1775847555.12875,0.517132043838501,enc,,,,,,,,,,,476578,17,0.00226,0.0
1775847555.1287522,0.5171341896057129,enc,,,,,,,,,,,476588,18,0.00239,0.0133
1775847555.1296792,0.5180611610412598,enc,,,,,,,,,,,476608,18,0.00239,0.0
1775847555.12968,0.5180618762969971,enc,,,,,,,,,,,476618,18,0.00239,0.0
1775847555.268394,0.656775951385498,enc,,,,,,,,,,,476628,18,0.00239,0.0
1775847555.268406,0.6567878723144531,enc,,,,,,,,,,,476638,18,0.00239,0.0
1775847555.268407,0.6567890644073486,enc,,,,,,,,,,,476708,18,0.00239,0.0
1775847555.268408,0.656790018081665,enc,,,,,,,,,,,476718,18,0.00239,0.0
1775847555.2684102,0.656792163848877,enc,,,,,,,,,,,476728,18,0.00239,0.0
1775847555.268411,0.6567928791046143,enc,,,,,,,,,,,476738,18,0.00239,0.0
1775847555.2684119,0.6567938327789307,enc,,,,,,,,,,,476748,18,0.00239,0.0
1775847555.2684128,0.6567947864532471,enc,,,,,,,,,,,476758,18,0.00239,0.0
1775847555.268415,0.656796932220459,enc,,,,,,,,,,,476768,18,0.00239,0.0
1775847555.268416,0.6567978858947754,enc,,,,,,,,,,,476778,18,0.00239,0.0
1775847555.2684171,0.6567990779876709,enc,,,,,,,,,,,476788,18,0.00239,0.0
1775847555.268419,0.6568009853363037,enc,,,,,,,,,,,476798,18,0.00239,0.0
1775847555.405911,0.7942929267883301,enc,,,,,,,,,,,476808,18,0.00239,0.0
1775847555.405928,0.7943098545074463,enc,,,,,,,,,,,476818,18,0.00239,0.0
1775847555.40593,0.7943120002746582,enc,,,,,,,,,,,476828,18,0.00239,0.0
1775847555.407671,0.7960529327392578,enc,,,,,,,,,,,476918,18,0.00239,0.0
1775847555.4076731,0.7960550785064697,enc,,,,,,,,,,,476928,18,0.00239,0.0
1775847555.407674,0.7960560321807861,enc,,,,,,,,,,,476938,18,0.00239,0.0
1775847555.407676,0.796057939529419,enc,,,,,,,,,,,476948,18,0.00239,0.0
1775847555.407677,0.7960588932037354,enc,,,,,,,,,,,476958,18,0.00239,0.0
1775847555.544152,0.9325339794158936,enc,,,,,,,,,,,476968,18,0.00239,0.0
1775847555.5441642,0.9325461387634277,enc,,,,,,,,,,,476978,18,0.00239,0.0
1775847555.5441658,0.9325478076934814,enc,,,,,,,,,,,476988,18,0.00239,0.0
1775847555.544168,0.9325499534606934,enc,,,,,,,,,,,476998,18,0.00239,0.0
1775847555.544169,0.9325509071350098,enc,,,,,,,,,,,477008,18,0.00239,0.0
1775847555.54417,0.9325518608093262,enc,,,,,,,,,,,477018,18,0.00239,0.0
1775847555.544171,0.9325530529022217,enc,,,,,,,,,,,477028,18,0.00239,0.0
1775847555.544173,0.9325549602508545,enc,,,,,,,,,,,477038,18,0.00239,0.0
1775847555.682872,1.071254014968872,enc,,,,,,,,,,,477058,18,0.00239,0.0
1775847555.682884,1.0712659358978271,enc,,,,,,,,,,,477128,18,0.00239,0.0
1775847555.682886,1.07126784324646,enc,,,,,,,,,,,477138,18,0.00239,0.0
1775847555.6828868,1.0712687969207764,enc,,,,,,,,,,,477148,18,0.00239,0.0
1775847555.682888,1.0712699890136719,enc,,,,,,,,,,,477158,18,0.00239,0.0
