host_unix_s,t_rel_s,stream,rpm,duty,vbat,i_motor,i_in,t_mos,t_motor,tach,tach_abs,fault,enc_millis,enc_count,position_m,velocity_mps
1775849366.395735,0.00018095970153808594,enc,,,,,,,,,,,127034,43,0.00572,0.0
1775849366.395765,0.0002110004425048828,enc,,,,,,,,,,,127044,43,0.00572,0.0
1775849366.395767,0.0002129077911376953,enc,,,,,,,,,,,127054,43,0.00572,0.0
1775849366.3957691,0.00021505355834960938,enc,,,,,,,,,,,127064,43,0.00572,0.0
1775849366.3957708,0.0002167224884033203,enc,,,,,,,,,,,127074,43,0.00572,0.0
1775849366.395772,0.00021791458129882812,enc,,,,,,,,,,,127084,43,0.00572,0.0
1775849366.395774,0.00021982192993164062,enc,,,,,,,,,,,127094,43,0.00572,0.0
1775849366.395775,0.00022101402282714844,enc,,,,,,,,,,,127104,43,0.00572,0.0
1775849366.533132,0.13757801055908203,enc,,,,,,,,,,,127174,43,0.00572,0.0
1775849366.5331461,0.13759207725524902,enc,,,,,,,,,,,127184,43,0.00572,0.0
1775849366.533149,0.13759493827819824,enc,,,,,,,,,,,127194,43,0.00572,0.0
1775849366.533151,0.13759684562683105,enc,,,,,,,,,,,127204,43,0.00572,0.0
1775849366.533152,0.13759803771972656,enc,,,,,,,,,,,127214,43,0.00572,0.0
1775849366.533153,0.13759899139404297,enc,,,,,,,,,,,127224,43,0.00572,0.0
1775849366.533155,0.13760089874267578,enc,,,,,,,,,,,127234,43,0.00572,0.0
1775849366.5331562,0.1376020908355713,enc,,,,,,,,,,,127244,43,0.00572,0.0
1775849366.533157,0.1376030445098877,enc,,,,,,,,,,,127254,43,0.00572,0.0
1775849366.5331578,0.137603759765625,enc,,,,,,,,,,,127264,43,0.00572,0.0
1775849366.53316,0.13760590553283691,enc,,,,,,,,,,,127274,43,0.00572,0.0
1775849366.6659489,0.27039480209350586,enc,,,,,,,,,,,127364,43,0.00572,0.0
1775849366.666538,0.2709839344024658,telem,0.0,0.0,37.9,0.28,0.0,30.7,-77.5,0,0,0,,,,
1775849366.666542,0.27098798751831055,enc,,,,,,,,,,,127374,43,0.00572,0.0
1775849366.666543,0.27098894119262695,enc,,,,,,,,,,,127384,43,0.00572,0.0
1775849366.666545,0.27099084854125977,enc,,,,,,,,,,,127394,43,0.00572,0.0
1775849366.6665459,0.27099180221557617,enc,,,,,,,,,,,127404,43,0.00572,0.0
1775849366.666547,0.2709929943084717,enc,,,,,,,,,,,127414,43,0.00572,0.0
1775849366.666549,0.2709949016571045,enc,,,,,,,,,,,127424,43,0.00572,0.0
1775849366.66655,0.2709958553314209,enc,,,,,,,,,,,127434,43,0.00572,0.0
1775849366.666551,0.2709970474243164,enc,,,,,,,,,,,127444,43,0.00572,0.0
1775849366.801785,0.4062309265136719,enc,,,,,,,,,,,127454,43,0.00572,0.0
1775849366.8017979,0.40624380111694336,enc,,,,,,,,,,,127464,43,0.00572,0.0
1775849366.8018,0.4062459468841553,enc,,,,,,,,,,,127474,43,0.00572,0.0
1775849366.801801,0.4062469005584717,enc,,,,,,,,,,,127484,43,0.00572,0.0
1775849366.801803,0.4062490463256836,enc,,,,,,,,,,,127494,43,0.00572,0.0
1775849366.801804,0.40625,enc,,,,,,,,,,,127564,43,0.00572,0.0
1775849366.801805,0.4062509536743164,enc,,,,,,,,,,,127574,43,0.00572,0.0
1775849366.8018072,0.4062530994415283,enc,,,,,,,,,,,127584,43,0.00572,0.0
1775849366.8018079,0.4062538146972656,enc,,,,,,,,,,,127594,43,0.00572,0.0
1775849366.91715,0.5215959548950195,enc,,,,,,,,,,,127604,43,0.00572,0.0
1775849366.9171588,0.5216047763824463,enc,,,,,,,,,,,127614,43,0.00572,0.0
1775849366.917161,0.5216069221496582,enc,,,,,,,,,,,127624,43,0.00572,0.0
1775849366.918114,0.5225598812103271,enc,,,,,,,,,,,127644,43,0.00572,0.0
1775849366.918116,0.5225620269775391,enc,,,,,,,,,,,127654,43,0.00572,0.0
1775849366.918117,0.5225629806518555,enc,,,,,,,,,,,127664,43,0.00572,0.0
1775849367.051245,0.6556909084320068,enc,,,,,,,,,,,127744,43,0.00572,0.0
1775849367.0512562,0.6557021141052246,enc,,,,,,,,,,,127754,43,0.00572,0.0
1775849367.051258,0.6557040214538574,enc,,,,,,,,,,,127764,43,0.00572,0.0
1775849367.0512588,0.6557047367095947,enc,,,,,,,,,,,127774,43,0.00572,0.0
1775849367.05126,0.6557059288024902,enc,,,,,,,,,,,127784,43,0.00572,0.0
1775849367.051262,0.655707836151123,enc,,,,,,,,,,,127794,43,0.00572,0.0
1775849367.051263,0.6557090282440186,enc,,,,,,,,,,,127804,43,0.00572,0.0
1775849367.051264,0.655709981918335,enc,,,,,,,,,,,127814,43,0.00572,0.0
1775849367.051265,0.6557109355926514,enc,,,,,,,,,,,127824,43,0.00572,0.0
1775849367.051266,0.6557118892669678,enc,,,,,,,,,,,127834,43,0.00572,0.0
1775849367.183437,0.7878830432891846,enc,,,,,,,,,,,127844,43,0.00572,0.0
1775849367.1834931,0.7879390716552734,enc,,,,,,,,,,,127854,43,0.00572,0.0
1775849367.183496,0.7879419326782227,enc,,,,,,,,,,,127864,43,0.00572,0.0
1775849367.183498,0.7879438400268555,enc,,,,,,,,,,,127874,43,0.00572,0.0
1775849367.183499,0.787945032119751,enc,,,,,,,,,,,127884,43,0.00572,0.0
1775849367.183501,0.7879469394683838,enc,,,,,,,,,,,127954,43,0.00572,0.0
1775849367.1835022,0.7879481315612793,enc,,,,,,,,,,,127964,43,0.00572,0.0
1775849367.1835039,0.787949800491333,enc,,,,,,,,,,,127974,43,0.00572,0.0
1775849367.1835048,0.7879507541656494,enc,,,,,,,,,,,127984,43,0.00572,0.0
1775849367.183507,0.7879528999328613,enc,,,,,,,,,,,127994,43,0.00572,0.0
1775849367.320557,0.9250030517578125,enc,,,,,,,,,,,128004,43,0.00572,0.0
1775849367.320569,0.9250149726867676,enc,,,,,,,,,,,128014,43,0.00572,0.0
1775849367.320571,0.9250168800354004,enc,,,,,,,,,,,128024,43,0.00572,0.0
1775849367.320572,0.9250178337097168,enc,,,,,,,,,,,128034,43,0.00572,0.0
1775849367.320574,0.9250199794769287,enc,,,,,,,,,,,128044,43,0.00572,0.0
1775849367.320575,0.9250209331512451,enc,,,,,,,,,,,128054,43,0.00572,0.0
1775849367.320576,0.9250218868255615,enc,,,,,,,,,,,128064,43,0.00572,0.0
1775849367.320578,0.9250240325927734,enc,,,,,,,,,,,128074,43,0.00572,0.0
1775849367.320579,0.9250249862670898,enc,,,,,,,,,,,128084,43,0.00572,0.0
1775849367.32058,0.9250259399414062,enc,,,,,,,,,,,128094,43,0.00572,0.0
