host_unix_s,t_rel_s,stream,rpm,duty,vbat,i_motor,i_in,t_mos,t_motor,tach,tach_abs,fault,enc_millis,enc_count,position_m,velocity_mps
1775850091.240124,0.10638284683227539,enc,,,,,,,,,,,519753,27670,3.67995,0.0
1775850091.240136,0.10639476776123047,enc,,,,,,,,,,,519763,27670,3.67995,0.0
1775850091.241157,0.10741591453552246,enc,,,,,,,,,,,519863,27670,3.67995,0.0
1775850091.2411578,0.10741662979125977,enc,,,,,,,,,,,519873,27670,3.67995,0.0
1775850091.24116,0.10741877555847168,enc,,,,,,,,,,,519883,27670,3.67995,0.0
1775850091.376995,0.2432539463043213,enc,,,,,,,,,,,519893,27670,3.67995,0.0
1775850091.377012,0.2432708740234375,enc,,,,,,,,,,,519903,27670,3.67995,0.0
1775850091.377013,0.2432718276977539,enc,,,,,,,,,,,519913,27670,3.67995,0.0
1775850091.377015,0.24327397346496582,enc,,,,,,,,,,,519923,27670,3.67995,0.0
1775850091.377016,0.24327492713928223,enc,,,,,,,,,,,519933,27670,3.67995,0.0
1775850091.37746,0.24371886253356934,enc,,,,,,,,,,,519943,27670,3.67995,0.0
1775850091.377462,0.24372076988220215,enc,,,,,,,,,,,519953,27670,3.67995,0.0
1775850091.377463,0.24372196197509766,enc,,,,,,,,,,,519963,27670,3.67995,0.0
1775850091.3777962,0.24405503273010254,enc,,,,,,,,,,,520034,27670,3.67995,0.0
1775850091.3777971,0.24405598640441895,enc,,,,,,,,,,,520044,27670,3.67995,0.0
1775850091.5156338,0.38189268112182617,enc,,,,,,,,,,,520054,27670,3.67995,0.0
1775850091.515647,0.38190579414367676,enc,,,,,,,,,,,520064,27670,3.67995,0.0
1775850091.515648,0.38190674781799316,enc,,,,,,,,,,,520074,27670,3.67995,0.0
1775850091.515649,0.38190793991088867,enc,,,,,,,,,,,520084,27670,3.67995,0.0
1775850091.515651,0.3819098472595215,enc,,,,,,,,,,,520094,27670,3.67995,0.0
1775850091.5156522,0.381911039352417,enc,,,,,,,,,,,520104,27670,3.67995,0.0
1775850091.5156531,0.3819119930267334,enc,,,,,,,,,,,520114,27670,3.67995,0.0
1775850091.5156538,0.3819127082824707,enc,,,,,,,,,,,520124,27670,3.67995,0.0
1775850091.5156548,0.3819136619567871,enc,,,,,,,,,,,520134,27670,3.67995,0.0
1775850091.515657,0.381915807723999,enc,,,,,,,,,,,520144,27670,3.67995,0.0
1775850091.515658,0.38191676139831543,enc,,,,,,,,,,,520154,27670,3.67995,0.0
1775850091.515659,0.38191795349121094,enc,,,,,,,,,,,520164,27670,3.67995,0.0
1775850091.65165,0.5179088115692139,enc,,,,,,,,,,,520174,27670,3.67995,0.0
1775850091.6516638,0.5179226398468018,enc,,,,,,,,,,,520184,27670,3.67995,0.0
1775850091.6524181,0.5186769962310791,enc,,,,,,,,,,,520204,27670,3.67995,0.0
1775850091.6527371,0.518996000289917,enc,,,,,,,,,,,520214,27670,3.67995,0.0
1775850091.652738,0.5189969539642334,enc,,,,,,,,,,,520224,27670,3.67995,0.0
1775850091.652739,0.5189979076385498,enc,,,,,,,,,,,520234,27670,3.67995,0.0
1775850091.6527412,0.5190000534057617,enc,,,,,,,,,,,520304,27670,3.67995,0.0
1775850091.652742,0.519000768661499,enc,,,,,,,,,,,520314,27670,3.67995,0.0
1775850091.788355,0.6546139717102051,enc,,,,,,,,,,,520324,27670,3.67995,0.0
1775850091.788368,0.6546268463134766,enc,,,,,,,,,,,520334,27670,3.67995,0.0
1775850091.788376,0.654634952545166,enc,,,,,,,,,,,520344,27670,3.67995,0.0
1775850091.788378,0.6546368598937988,enc,,,,,,,,,,,520354,27670,3.67995,0.0
1775850091.788379,0.6546378135681152,enc,,,,,,,,,,,520364,27670,3.67995,0.0
1775850091.78838,0.6546387672424316,enc,,,,,,,,,,,520374,27670,3.67995,0.0
1775850091.7883809,0.654639720916748,enc,,,,,,,,,,,520384,27670,3.67995,0.0
1775850091.788383,0.65464186668396,enc,,,,,,,,,,,520394,27670,3.67995,0.0
