host_unix_s,t_rel_s,stream,rpm,duty,vbat,i_motor,i_in,t_mos,t_motor,tach,tach_abs,fault,enc_millis,enc_count,position_m,velocity_mps
1775850147.5880399,0.004937887191772461,enc,,,,,,,,,,,576132,27670,3.67995,0.0
1775850147.5880508,0.004948854446411133,enc,,,,,,,,,,,576142,27670,3.67995,0.0
1775850147.588053,0.004951000213623047,enc,,,,,,,,,,,576152,27670,3.67995,0.0
1775850147.588054,0.004951953887939453,enc,,,,,,,,,,,576162,27670,3.67995,0.0
1775850147.5880551,0.004953145980834961,enc,,,,,,,,,,,576172,27670,3.67995,0.0
1775850147.588057,0.0049550533294677734,enc,,,,,,,,,,,576182,27670,3.67995,0.0
1775850147.588058,0.00495600700378418,enc,,,,,,,,,,,576192,27670,3.67995,0.0
1775850147.58806,0.004957914352416992,enc,,,,,,,,,,,576202,27670,3.67995,0.0
1775850147.5880609,0.0049588680267333984,enc,,,,,,,,,,,576212,27670,3.67995,0.0
1775850147.697172,0.11406993865966797,enc,,,,,,,,,,,576222,27670,3.67995,0.0
1775850147.697183,0.11408090591430664,enc,,,,,,,,,,,576232,27670,3.67995,0.0
1775850147.697185,0.11408305168151855,enc,,,,,,,,,,,576242,27670,3.67995,0.0
1775850147.697186,0.11408400535583496,enc,,,,,,,,,,,576252,27670,3.67995,0.0
1775850147.6971881,0.11408615112304688,enc,,,,,,,,,,,576262,27670,3.67995,0.0
1775850147.697189,0.11408710479736328,enc,,,,,,,,,,,576272,27670,3.67995,0.0
1775850147.6971898,0.11408782005310059,enc,,,,,,,,,,,576342,27670,3.67995,0.0
1775850147.81146,0.22835803031921387,enc,,,,,,,,,,,576352,27670,3.67995,0.0
1775850147.811473,0.22837090492248535,enc,,,,,,,,,,,576362,27670,3.67995,0.0
1775850147.811475,0.22837305068969727,enc,,,,,,,,,,,576372,27670,3.67995,0.0
1775850147.811476,0.22837400436401367,enc,,,,,,,,,,,576382,27670,3.67995,0.0
1775850147.811478,0.22837591171264648,enc,,,,,,,,,,,576392,27670,3.67995,0.0
1775850147.811816,0.2287139892578125,enc,,,,,,,,,,,576402,27670,3.67995,0.0
1775850147.811818,0.2287158966064453,enc,,,,,,,,,,,576412,27670,3.67995,0.0
1775850147.81182,0.22871804237365723,enc,,,,,,,,,,,576422,27670,3.67995,0.0
