host_unix_s,t_rel_s,stream,rpm,duty,vbat,i_motor,i_in,t_mos,t_motor,tach,tach_abs,fault,enc_millis,enc_count,position_m,velocity_mps
1775849639.567504,0.10526084899902344,enc,,,,,,,,,,,68090,292,0.03883,0.0
1775849639.5675159,0.10527276992797852,enc,,,,,,,,,,,68100,292,0.03883,0.0
1775849639.568419,0.10617589950561523,enc,,,,,,,,,,,68110,292,0.03883,0.0
1775849639.5684211,0.10617804527282715,enc,,,,,,,,,,,68120,292,0.03883,0.0
1775849639.5684218,0.10617876052856445,enc,,,,,,,,,,,68130,292,0.03883,0.0
1775849639.5684228,0.10617971420288086,enc,,,,,,,,,,,68140,292,0.03883,0.0
1775849639.568425,0.10618185997009277,enc,,,,,,,,,,,68150,293,0.03897,0.0133
1775849639.568426,0.10618281364440918,enc,,,,,,,,,,,68160,293,0.03897,0.0
1775849639.568427,0.10618400573730469,enc,,,,,,,,,,,68170,293,0.03897,0.0
1775849639.568428,0.1061849594116211,enc,,,,,,,,,,,68180,293,0.03897,0.0
1775849639.700733,0.23848986625671387,enc,,,,,,,,,,,68190,293,0.03897,0.0
1775849639.700782,0.2385389804840088,enc,,,,,,,,,,,68200,293,0.03897,0.0
1775849639.7007842,0.2385411262512207,enc,,,,,,,,,,,68210,293,0.03897,0.0
1775849639.700785,0.238541841506958,enc,,,,,,,,,,,68220,293,0.03897,0.0
1775849639.7007868,0.23854374885559082,enc,,,,,,,,,,,68230,293,0.03897,0.0
1775849639.701719,0.23947596549987793,enc,,,,,,,,,,,68350,307,0.04083,0.0665
1775849639.70172,0.23947691917419434,enc,,,,,,,,,,,68360,313,0.04163,0.0798
1775849639.838,0.37575697898864746,enc,,,,,,,,,,,68370,322,0.04282,0.1197
1775849639.838014,0.37577080726623535,enc,,,,,,,,,,,68380,336,0.04469,0.1862
1775849639.838016,0.37577295303344727,enc,,,,,,,,,,,68390,356,0.04735,0.266
1775849639.838017,0.37577390670776367,enc,,,,,,,,,,,68400,376,0.05001,0.266
1775849639.838018,0.3757748603820801,enc,,,,,,,,,,,68410,397,0.0528,0.2793
1775849639.83802,0.375777006149292,enc,,,,,,,,,,,68420,422,0.05612,0.3325
1775849639.838021,0.3757779598236084,enc,,,,,,,,,,,68430,449,0.05971,0.3591
1775849639.838022,0.3757789134979248,enc,,,,,,,,,,,68440,480,0.06384,0.4123
1775849639.838023,0.3757798671722412,enc,,,,,,,,,,,68450,516,0.06862,0.4788
1775849639.8380249,0.375781774520874,enc,,,,,,,,,,,68460,553,0.07355,0.4921
1775849639.838026,0.37578296661376953,enc,,,,,,,,,,,68470,590,0.07847,0.4921
1775849639.838027,0.37578392028808594,enc,,,,,,,,,,,68480,631,0.08392,0.5453
1775849639.838028,0.37578487396240234,enc,,,,,,,,,,,68490,674,0.08964,0.5719
1775849639.954805,0.49256181716918945,enc,,,,,,,,,,,68500,719,0.09562,0.5985
1775849639.955754,0.4935109615325928,enc,,,,,,,,,,,68520,816,0.10852,0.665
1775849639.955756,0.4935128688812256,enc,,,,,,,,,,,68530,867,0.11531,0.6783
1775849639.9557571,0.4935140609741211,enc,,,,,,,,,,,68540,919,0.12222,0.6916
1775849639.955758,0.4935150146484375,enc,,,,,,,,,,,68550,971,0.12914,0.6916
1775849639.9557602,0.4935171604156494,enc,,,,,,,,,,,68620,1347,0.17914,0.7448
1775849639.955761,0.4935178756713867,enc,,,,,,,,,,,68630,1407,0.18712,0.798
1775849640.087494,0.6252508163452148,enc,,,,,,,,,,,68640,1467,0.1951,0.798
1775849640.087507,0.6252639293670654,enc,,,,,,,,,,,68650,1526,0.20295,0.7847
1775849640.087509,0.6252658367156982,enc,,,,,,,,,,,68660,1582,0.2104,0.7448
1775849640.0879989,0.625755786895752,enc,,,,,,,,,,,68670,1639,0.21798,0.7581
1775849640.088001,0.6257579326629639,enc,,,,,,,,,,,68680,1697,0.22569,0.7714
1775849640.088002,0.6257588863372803,enc,,,,,,,,,,,68690,1756,0.23354,0.7847
1775849640.0880032,0.6257600784301758,enc,,,,,,,,,,,68700,1817,0.24165,0.8113
1775849640.088005,0.6257619857788086,enc,,,,,,,,,,,68710,1879,0.2499,0.8246
1775849640.0880058,0.6257627010345459,enc,,,,,,,,,,,68720,1942,0.25827,0.8379
