host_unix_s,t_rel_s,stream,rpm,duty,vbat,i_motor,i_in,t_mos,t_motor,tach,tach_abs,fault,enc_millis,enc_count,position_m,velocity_mps
1775850587.976042,0.00017213821411132812,enc,,,,,,,,,,,240579,0,0.0,0.0
1775850587.976068,0.00019812583923339844,enc,,,,,,,,,,,240589,0,0.0,0.0
1775850587.97607,0.00020003318786621094,enc,,,,,,,,,,,240599,0,0.0,0.0
1775850587.97697,0.0011000633239746094,enc,,,,,,,,,,,240619,0,0.0,0.0
1775850587.976972,0.0011022090911865234,enc,,,,,,,,,,,240629,0,0.0,0.0
1775850587.976973,0.0011031627655029297,enc,,,,,,,,,,,240639,0,0.0,0.0
1775850587.976974,0.001104116439819336,enc,,,,,,,,,,,240649,0,0.0,0.0
1775850587.9769752,0.0011053085327148438,enc,,,,,,,,,,,240659,0,0.0,0.0
1775850588.112235,0.13636517524719238,enc,,,,,,,,,,,240669,0,0.0,0.0
1775850588.1122491,0.13637924194335938,enc,,,,,,,,,,,240679,0,0.0,0.0
1775850588.1122508,0.13638091087341309,enc,,,,,,,,,,,240689,0,0.0,0.0
1775850588.112252,0.1363821029663086,enc,,,,,,,,,,,240699,0,0.0,0.0
1775850588.112254,0.1363840103149414,enc,,,,,,,,,,,240709,0,0.0,0.0
1775850588.1122549,0.1363849639892578,enc,,,,,,,,,,,240719,0,0.0,0.0
1775850588.112257,0.13638710975646973,enc,,,,,,,,,,,240729,0,0.0,0.0
1775850588.112258,0.13638806343078613,enc,,,,,,,,,,,240739,0,0.0,0.0
1775850588.11226,0.13639020919799805,enc,,,,,,,,,,,240809,0,0.0,0.0
1775850588.112261,0.13639116287231445,enc,,,,,,,,,,,240819,0,0.0,0.0
1775850588.1122618,0.13639187812805176,enc,,,,,,,,,,,240829,0,0.0,0.0
1775850588.1127522,0.13688230514526367,enc,,,,,,,,,,,240839,0,0.0,0.0
1775850588.246419,0.27054905891418457,enc,,,,,,,,,,,240859,0,0.0,0.0
1775850588.246429,0.27055907249450684,enc,,,,,,,,,,,240869,0,0.0,0.0
1775850588.24643,0.27056002616882324,enc,,,,,,,,,,,240879,0,0.0,0.0
1775850588.2464309,0.27056097984313965,enc,,,,,,,,,,,240889,0,0.0,0.0
1775850588.246433,0.27056312561035156,enc,,,,,,,,,,,240899,0,0.0,0.0
1775850588.246434,0.27056407928466797,enc,,,,,,,,,,,240909,0,0.0,0.0
1775850588.2464352,0.2705652713775635,enc,,,,,,,,,,,240919,0,0.0,0.0
1775850588.381488,0.40561819076538086,enc,,,,,,,,,,,240929,0,0.0,0.0
1775850588.381501,0.40563106536865234,enc,,,,,,,,,,,240939,0,0.0,0.0
1775850588.381502,0.40563201904296875,enc,,,,,,,,,,,240949,0,0.0,0.0
1775850588.381504,0.40563416481018066,enc,,,,,,,,,,,240959,0,0.0,0.0
1775850588.381505,0.40563511848449707,enc,,,,,,,,,,,240969,0,0.0,0.0
1775850588.381506,0.4056360721588135,enc,,,,,,,,,,,240979,0,0.0,0.0
1775850588.381508,0.4056382179260254,enc,,,,,,,,,,,241049,0,0.0,0.0
1775850588.381509,0.4056391716003418,enc,,,,,,,,,,,241059,0,0.0,0.0
1775850588.3815098,0.4056398868560791,enc,,,,,,,,,,,241069,0,0.0,0.0
1775850588.381511,0.4056410789489746,enc,,,,,,,,,,,241079,0,0.0,0.0
1775850588.381512,0.405642032623291,enc,,,,,,,,,,,241089,0,0.0,0.0
1775850588.3815129,0.4056429862976074,enc,,,,,,,,,,,241099,0,0.0,0.0
1775850588.497039,0.5211691856384277,enc,,,,,,,,,,,241109,0,0.0,0.0
1775850588.49794,0.5220701694488525,enc,,,,,,,,,,,241129,0,0.0,0.0
1775850588.497942,0.5220720767974854,enc,,,,,,,,,,,241139,0,0.0,0.0
1775850588.635566,0.659696102142334,enc,,,,,,,,,,,241149,0,0.0,0.0
1775850588.6355782,0.6597082614898682,enc,,,,,,,,,,,241159,0,0.0,0.0
1775850588.6355798,0.6597099304199219,enc,,,,,,,,,,,241169,0,0.0,0.0
1775850588.635581,0.6597111225128174,enc,,,,,,,,,,,241179,0,0.0,0.0
1775850588.635583,0.6597130298614502,enc,,,,,,,,,,,241189,0,0.0,0.0
1775850588.635584,0.6597142219543457,enc,,,,,,,,,,,241259,0,0.0,0.0
1775850588.635585,0.6597151756286621,enc,,,,,,,,,,,241269,0,0.0,0.0
1775850588.635586,0.6597161293029785,enc,,,,,,,,,,,241279,0,0.0,0.0
1775850588.635587,0.6597170829772949,enc,,,,,,,,,,,241289,0,0.0,0.0
1775850588.6355882,0.6597182750701904,enc,,,,,,,,,,,241299,0,0.0,0.0
1775850588.6355891,0.6597192287445068,enc,,,,,,,,,,,241309,0,0.0,0.0
1775850588.7700212,0.7941513061523438,enc,,,,,,,,,,,241319,0,0.0,0.0
