host_unix_s,device_ms,t_rel_s,duty,vbat,i_motor,i_in,rpm_vesc,rpm_spool,position_m,velocity_mps,enc_count,enc_device_ms
1776808268.967763,157565,0.0,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,157575
1776808269.0177631,157615,0.05,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,157625
1776808269.067763,157665,0.1,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,157675
1776808269.117763,157715,0.15,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,157725
1776808269.167763,157765,0.2,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,157775
1776808269.217763,157815,0.25,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,157825
1776808269.2677631,157865,0.3,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,157875
1776808269.317763,157915,0.35,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,157925
1776808269.367763,157965,0.4,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,157975
1776808269.417763,158015,0.45,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,158025
1776808269.467763,158065,0.5,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,158075
1776808269.5177631,158115,0.55,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,158125
1776808269.567763,158165,0.6,0.0,37.8,0.28,0.0,0.0,0.0,0.0,0.0,0,158175
1776808269.617763,158215,0.65,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,158225
1776808269.667763,158265,0.7,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,158275
1776808269.717763,158315,0.75,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,158325
1776808269.7677631,158365,0.8,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,158375
1776808269.817763,158415,0.85,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,158425
1776808269.867763,158465,0.9,0.0,37.8,0.26,0.0,0.0,0.0,0.00013,0.0,1,158475
1776808269.917763,158515,0.95,0.0,37.8,0.27,0.0,0.0,0.0,0.00013,0.0,1,158525
1776808269.967763,158565,1.0,0.0,37.8,0.27,0.0,0.0,0.0,0.00013,0.0,1,158575
1776808270.0177631,158615,1.05,0.0,37.8,0.28,0.0,0.0,0.0,0.00013,0.0,1,158625
1776808270.067763,158665,1.1,0.0,37.8,0.27,0.0,0.0,0.0,0.00013,0.0,1,158675
1776808270.117763,158715,1.15,0.0,37.8,0.27,0.0,0.0,0.0,0.00013,0.0,1,158725
1776808270.167763,158765,1.2,0.0,37.8,0.28,0.0,0.0,0.0,0.00013,0.0,1,158775
1776808270.217763,158815,1.25,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,158825
1776808270.2677631,158865,1.3,0.0,37.8,0.28,0.0,0.0,0.0,0.0,0.0,0,158875
1776808270.317763,158915,1.35,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,158925
1776808270.367763,158965,1.4,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,158975
1776808270.417763,159015,1.45,0.0,37.8,0.28,0.0,0.0,0.0,0.0,0.0,0,159025
1776808270.467763,159065,1.5,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,159075
1776808270.5177631,159115,1.55,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,159125
1776808270.567763,159165,1.6,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,159175
1776808270.617763,159215,1.65,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,159225
1776808270.667763,159265,1.7,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,159275
1776808270.717763,159315,1.75,0.0,37.8,0.28,0.0,0.0,0.0,0.0,0.0,0,159325
1776808270.7677631,159365,1.8,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,159375
1776808270.817763,159415,1.85,0.0,37.8,0.27,0.0,0.0,0.0,0.00013,0.0,1,159425
1776808270.867763,159465,1.9,0.0,37.8,0.27,0.0,0.0,-0.9962848799846993,0.0,-0.0053,0,159475
1776808270.917763,159515,1.95,0.0,37.8,0.25,0.0,0.0,3.0076524678783376,0.00066,0.016,5,159525
1776808270.967763,159565,2.0,-0.002,37.8,0.25,0.0,0.0,9.004159575710771,0.00239,0.0479,18,159575
1776808271.0177631,159615,2.05,-0.012,37.8,0.25,0.0,0.0,50.998507158462054,0.01263,0.2713,95,159625
1776808271.067763,159665,2.1,-0.028,37.8,0.25,0.0,0.0,111.99745877261958,0.03777,0.5958,284,159675
1776808271.117763,159715,2.15,-0.04,37.8,0.25,0.0,0.0,177.00034773464014,0.08153,0.9416,613,159725
1776808271.167763,159765,2.2,-0.042,37.8,0.26,0.01,0.0,191.00472953819863,0.131,1.0161,985,159775
1776808271.217763,159815,2.25,-0.044,37.8,0.26,0.01,0.0,201.00517399389412,0.1838,1.0693,1382,159825
