host_unix_s,device_ms,t_rel_s,duty,vbat,i_motor,i_in,rpm_vesc,rpm_spool,position_m,velocity_mps,enc_count,enc_device_ms
1776807206.2711291,50841,0.0,0.0,37.8,0.28,0.0,0.0,0.0,0.0,0.0,0,50848
1776807206.321129,50891,0.04999995231628418,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,50898
1776807206.371129,50941,0.09999990463256836,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,50948
1776807206.421129,50991,0.14999985694885254,0.0,37.8,0.28,0.0,0.0,0.0,0.0,0.0,0,50998
1776807206.4711292,51041,0.20000004768371582,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,51048
1776807206.5211291,51091,0.25,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,51098
1776807206.571129,51141,0.2999999523162842,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,51148
1776807206.621129,51191,0.34999990463256836,0.0,37.8,0.28,0.0,0.0,0.0,0.0,0.0,0,51198
1776807206.671129,51241,0.39999985694885254,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,51248
1776807206.7211292,51291,0.4500000476837158,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,51298
1776807206.7711291,51341,0.5,0.0,37.8,0.28,0.0,0.0,0.0,0.0,0.0,0,51348
1776807206.821129,51391,0.5499999523162842,0.0,37.8,0.27,0.0,0.0,0.9962848799846992,0.00013,0.0053,1,51398
1776807206.871129,51441,0.5999999046325684,0.0,37.8,0.27,0.0,0.0,0.0,0.00013,0.0,1,51448
1776807206.921129,51491,0.6499998569488525,0.0,37.8,0.27,0.0,0.0,0.0,0.00013,0.0,1,51498
1776807206.9711292,51541,0.7000000476837158,0.0,37.8,0.28,0.0,0.0,0.0,0.00013,0.0,1,51548
1776807207.0211291,51591,0.75,0.0,37.8,0.26,0.0,0.0,0.0,0.00013,0.0,1,51598
1776807207.071129,51641,0.7999999523162842,0.0,37.8,0.27,0.0,0.0,0.0,0.00013,0.0,1,51648
1776807207.121129,51691,0.8499999046325684,0.0,37.8,0.25,0.0,0.0,0.9962848799846992,0.0004,0.0053,3,51698
1776807207.171129,51741,0.8999998569488525,0.0,37.8,0.26,0.0,0.0,1.9925697599693983,0.0008,0.0106,6,51748
1776807207.2211292,51791,0.9500000476837158,0.0,37.8,0.26,0.0,0.0,0.9962848799846992,0.00106,0.0053,8,51798
1776807207.2711291,51841,1.0,0.0,37.8,0.25,0.0,0.0,9.004159575710771,0.00253,0.0479,19,51848
1776807207.321129,51891,1.0499999523162842,0.001,37.8,0.27,0.0,0.0,28.008763607117015,0.00904,0.149,68,51898
1776807207.371129,51941,1.0999999046325684,0.0,37.8,0.27,0.0,0.0,31.99390312705581,0.01756,0.1702,132,51948
1776807207.421129,51991,1.1499998569488525,-0.004,37.8,0.26,0.0,0.0,30.99761824707111,0.02647,0.1649,199,51998
1776807207.4711292,52041,1.2000000476837158,-0.012,37.8,0.25,0.0,0.0,49.005937398492655,0.03844,0.2607,289,52048
1776807207.5211291,52091,1.25,-0.017,37.8,0.26,0.0,0.0,62.99152137412692,0.05426,0.3351,408,52098
1776807207.571129,52141,1.2999999523162842,-0.02,37.8,0.26,0.0,0.0,74.00704853773134,0.07315,0.3937,550,52148
1776807207.621129,52191,1.3499999046325684,-0.022,37.8,0.25,0.0,0.0,80.99984052554846,0.09469,0.4309,712,52198
1776807207.671129,52241,1.3999998569488525,-0.026,37.8,0.25,0.0,0.0,100.00444455695472,0.12089,0.532,909,52248
1776807207.7211292,52291,1.4500000476837158,-0.028,37.8,0.25,0.0,0.0,115.00511124049792,0.15082,0.6118,1134,52298
1776807207.7711291,52341,1.5,-0.03,37.8,0.26,0.0,0.0,131.99834768401053,0.1846,0.7022,1388,52348
1776807207.821129,52391,1.5499999523162842,-0.033,37.8,0.25,0.0,0.0,141.99879213970598,0.22183,0.7554,1668,52398
1776807207.871129,52441,1.5999999046325684,-0.036,37.8,0.25,0.0,0.0,157.9957437032339,0.26253,0.8405,1974,52448
1776807207.921129,52491,1.6499998569488525,-0.039,37.8,0.26,0.0,0.0,167.9961881589294,0.30655,0.8937,2305,52498
1776807207.9711292,52541,1.7000000476837158,-0.042,37.8,0.25,0.01,0.0,185.0082224303662,0.3547,0.9842,2667,52548
1776807208.0211291,52591,1.75,-0.047,37.8,0.26,0.01,0.0,198.9938064060005,0.40603,1.0586,3053,52598
1776807208.071129,52641,1.7999999523162842,-0.045,37.8,0.25,0.01,0.0,207.00168110172655,0.46069,1.1012,3464,52648
1776807208.121129,52691,1.8499999046325684,-0.052,37.8,0.26,0.01,0.0,218.99469531739143,0.51921,1.165,3904,52698
1776807208.171129,52741,1.8999998569488525,-0.054,37.8,0.26,0.01,0.0,232.99907712094995,0.58025,1.2395,4363,52748
1776807208.2211292,52791,1.9500000476837158,-0.058,37.8,0.25,0.01,0.0,248.99602868447784,0.64476,1.3246,4848,52798
1776807208.2711291,52841,2.0,-0.061,37.8,0.26,0.01,0.0,259.99275802015796,0.71165,1.3831,5351,52848
1776807208.321129,52891,2.049999952316284,-0.065,37.8,0.26,0.01,0.0,264.9929802480057,0.78081,1.4097,5871,52898
1776807208.371129,52941,2.0999999046325684,-0.061,37.8,0.25,0.01,0.0,269.9932024758534,0.85209,1.4363,6407,52948
1776807208.421129,52991,2.1499998569488525,-0.069,37.8,0.25,0.01,0.0,276.00850741161014,0.92524,1.4683,6957,52998
1776807208.4711292,53041,2.200000047683716,-0.067,37.8,0.26,0.01,0.0,286.00895186730565,1.00038,1.5215,7522,53048
1776807208.5211291,53091,2.25,-0.069,37.8,0.26,0.01,0.0,297.00568120298584,1.07805,1.58,8106,53098
1776807208.571129,53141,2.299999952316284,-0.072,37.8,0.25,0.01,0.0,308.9986954186507,1.15878,1.6438,8713,53148
1776807208.621129,53191,2.3499999046325684,-0.077,37.8,0.25,0.01,0.0,315.9914874064678,1.2419,1.681,9338,53198
1776807208.671129,53241,2.3999998569488525,-0.084,37.8,0.25,0.02,0.0,325.99193186216326,1.32808,1.7342,9986,53248
1776807208.7211292,53291,2.450000047683716,-0.079,37.8,0.25,0.02,0.0,338.0037439057524,1.41758,1.7981,10659,53298
1776807208.7711291,53341,2.5,-0.083,37.8,0.26,0.02,0.0,350.99304300140193,1.51001,1.8672,11354,53348
1776807208.821129,53391,2.549999952316284,-0.086,37.8,0.25,0.02,0.0,358.0046328171434,1.60444,1.9045,12064,53398
1776807208.871129,53441,2.5999999046325684,-0.087,37.8,0.25,0.02,0.0,364.9974248049605,1.70153,1.9417,12794,53448
1776807208.921129,53491,2.6499998569488525,-0.089,37.8,0.25,0.02,0.0,375.99415414064066,1.80087,2.0002,13541,53498
1776807208.9711292,53541,2.700000047683716,-0.092,37.8,0.26,0.02,0.0,378.00552172853423,1.90102,2.0109,14294,53548
1776807209.0211291,53591,2.75,-0.101,37.8,0.25,0.02,0.0,386.9908834763208,2.00342,2.0587,15064,53598
1776807209.071129,53641,2.799999952316284,-0.095,37.8,0.26,0.02,0.0,396.99132793201625,2.10809,2.1119,15851,53648
1776807209.121129,53691,2.8499999046325684,-0.097,37.8,0.27,0.02,0.0,404.9992026277424,2.21515,2.1545,16656,53698
1776807209.171129,53741,2.8999998569488525,-0.108,37.8,0.25,0.02,0.0,415.99593196342255,2.325,2.213,17482,53748
1776807209.2211292,53791,2.950000047683716,-0.104,37.8,0.25,0.02,0.0,428.0077440070117,2.43791,2.2769,18331,53798
1776807209.2711291,53841,3.0,-0.105,37.8,0.26,0.02,0.0,435.00053599482874,2.55309,2.3141,19197,53848
1776807209.321129,53891,3.049999952316284,-0.11,37.8,0.26,0.02,0.0,444.0046955705396,2.67065,2.362,20081,53898
1776807209.371129,53941,3.0999999046325684,-0.116,37.8,0.26,0.02,0.0,450.0012026783719,2.78982,2.3939,20977,53948
1776807209.421129,53991,3.1499998569488525,-0.111,37.8,0.26,0.02,0.0,454.00514002623504,2.91018,2.4152,21882,53998
1776807209.4711292,54041,3.200000047683716,-0.114,37.8,0.26,0.03,0.0,460.9979320140521,3.0324,2.4524,22801,54048
1776807209.5211291,54091,3.25,-0.124,37.8,0.26,0.03,0.0,470.99837646974754,3.15701,2.5056,23738,54098
1776807209.571129,54141,3.299999952316284,-0.124,37.8,0.26,0.03,0.0,480.0025360454584,3.28389,2.5535,24692,54148
