host_unix_s,device_ms,t_rel_s,duty,vbat,i_motor,i_in,rpm_vesc,rpm_spool,position_m,velocity_mps,enc_count,enc_device_ms
1776808978.8256729,48578,0.0,0.0,37.8,0.28,0.0,0.0,0.0,-0.00013,0.0,-1,48587
1776808978.8756728,48628,0.04999995231628418,0.0,37.8,0.29,0.0,0.0,0.0,-0.00013,0.0,-1,48637
1776808978.9256728,48678,0.09999990463256836,0.0,37.8,0.28,0.0,0.0,0.0,-0.00013,0.0,-1,48687
1776808978.9756727,48728,0.14999985694885254,0.0,37.8,0.27,0.0,0.0,0.0,-0.00013,0.0,-1,48737
1776808979.025673,48778,0.20000004768371582,0.0,37.8,0.29,0.0,0.0,0.0,-0.00013,0.0,-1,48787
1776808979.0756729,48828,0.25,0.0,37.8,0.28,0.0,0.0,0.0,0.0,0.0,0,48837
1776808979.1256728,48878,0.2999999523162842,0.0,37.7,0.27,0.0,0.0,0.0,0.0,0.0,0,48887
1776808979.1756728,48928,0.34999990463256836,0.0,37.8,0.28,0.0,0.0,0.0,-0.00013,0.0,-1,48937
1776808979.2256727,48978,0.39999985694885254,0.0,37.8,0.28,0.0,0.0,0.9962848799846992,0.0,0.0053,0,48987
1776808979.275673,49028,0.4500000476837158,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,49037
1776808979.3256729,49078,0.5,0.0,37.8,0.28,0.0,0.0,-0.9962848799846992,-0.00013,-0.0053,-1,49087
1776808979.3756728,49128,0.5499999523162842,0.0,37.8,0.29,0.0,0.0,0.0,-0.00013,0.0,-1,49137
1776808979.4256728,49178,0.5999999046325684,0.0,37.8,0.28,0.0,0.0,0.9962848799846992,0.0,0.0053,0,49187
1776808979.4756727,49228,0.6499998569488525,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,49237
1776808979.525673,49278,0.7000000476837158,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,49287
1776808979.5756729,49328,0.75,0.0,37.8,0.28,0.0,0.0,0.0,0.0,0.0,0,49337
1776808979.6256728,49378,0.7999999523162842,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,49387
1776808979.6756728,49428,0.8499999046325684,0.0,37.8,0.27,0.0,0.0,0.0,0.00013,0.0,1,49437
1776808979.7256727,49478,0.8999998569488525,0.0,37.8,0.29,0.0,0.0,0.0,0.00013,0.0,1,49487
1776808979.775673,49528,0.9500000476837158,0.0,37.8,0.27,0.0,0.0,0.0,0.00027,0.0,2,49537
1776808979.8256729,49578,1.0,0.0,37.8,0.26,0.0,0.0,4.003937347863036,0.00106,0.0213,8,49587
1776808979.8756728,49628,1.0499999523162842,-0.002,37.8,0.26,0.0,0.0,13.008096923573808,0.00359,0.0692,27,49637
1776808979.9256728,49678,1.0999999046325684,-0.008,37.8,0.25,0.0,0.0,33.00898583496475,0.01184,0.1756,89,49687
1776808979.9756727,49728,1.1499998569488525,-0.01,37.8,0.26,0.0,0.0,30.99761824707111,0.02061,0.1649,155,49737
1776808980.025673,49778,1.2000000476837158,-0.012,37.8,0.26,0.0,0.0,45.99828493061432,0.03205,0.2447,241,49787
1776808980.0756729,49828,1.25,-0.013,37.8,0.26,0.0,0.0,50.998507158462054,0.04495,0.2713,338,49837
1776808980.1256728,49878,1.2999999523162842,-0.015,37.8,0.26,0.0,0.0,61.99523649414222,0.06051,0.3298,455,49887
1776808980.1756728,49928,1.3499999046325684,-0.018,37.8,0.26,0.0,0.0,67.99174360197466,0.07793,0.3617,586,49937
1776808980.2256727,49978,1.3999998569488525,-0.019,37.8,0.27,0.0,0.0,72.99196582982239,0.09695,0.3883,729,49987
1776808980.275673,50028,1.4500000476837158,-0.021,37.8,0.25,0.0,0.0,79.00727076557907,0.1177,0.4203,885,50037
1776808980.3256729,50078,1.5,-0.022,37.8,0.26,0.0,0.0,86.00006275339621,0.14018,0.4575,1054,50087
1776808980.3756728,50128,1.5499999523162842,-0.025,37.8,0.25,0.0,0.0,90.00400010125924,0.16372,0.4788,1231,50137
1776808980.4256728,50178,1.5999999046325684,-0.025,37.8,0.26,0.0,0.0,96.00050720909168,0.18898,0.5107,1421,50187
1776808980.4756727,50228,1.6499998569488525,-0.028,37.8,0.27,0.0,0.0,101.0007294369394,0.21558,0.5373,1621,50237
1776808980.525673,50278,1.7000000476837158,-0.027,37.8,0.26,0.0,0.0,105.00466678480244,0.24325,0.5586,1829,50287
1776808980.5756729,50328,1.75,-0.027,37.8,0.26,0.0,0.0,111.0011738926349,0.2725,0.5905,2049,50337
1776808980.6256728,50378,1.7999999523162842,-0.029,37.7,0.26,0.0,0.0,111.99745877261958,0.30216,0.5958,2272,50387
1776808980.6756728,50428,1.8499999046325684,-0.03,37.8,0.26,0.0,0.0,115.00511124049792,0.33235,0.6118,2499,50437
1776808980.7256727,50478,1.8999998569488525,-0.03,37.8,0.25,0.0,0.0,116.0013961204826,0.36334,0.6171,2732,50487
1776808980.775673,50528,1.9500000476837158,-0.029,37.8,0.25,0.0,0.0,115.00511124049792,0.39406,0.6118,2963,50537
1776808980.8256729,50578,2.0,-0.03,37.8,0.27,0.0,0.0,116.0013961204826,0.42492,0.6171,3195,50587
1776808980.8756728,50628,2.049999952316284,-0.029,37.8,0.25,0.0,0.0,111.99745877261958,0.45497,0.5958,3421,50637
1776808980.9256728,50678,2.0999999046325684,-0.029,37.8,0.26,0.0,0.0,112.99374365260428,0.4849,0.6011,3646,50687
1776808980.9756727,50728,2.1499998569488525,-0.028,37.8,0.26,0.0,0.0,112.99374365260428,0.51522,0.6011,3874,50737
1776808981.025673,50778,2.200000047683716,-0.028,37.8,0.25,0.0,0.0,116.0013961204826,0.54554,0.6171,4102,50787
1776808981.0756729,50828,2.25,-0.03,37.8,0.27,0.0,0.0,117.99396588045202,0.57693,0.6277,4338,50837
1776808981.1256728,50878,2.299999952316284,-0.029,37.8,0.26,0.0,0.0,120.00533346834564,0.60871,0.6384,4577,50887
1776808981.1756728,50928,2.3499999046325684,-0.03,37.8,0.26,0.0,0.0,126.99812545616278,0.64223,0.6756,4829,50937
1776808981.2256727,50978,2.3999998569488525,-0.03,37.8,0.25,0.0,0.0,130.00577792404113,0.67654,0.6916,5087,50987
1776808981.275673,51028,2.450000047683716,-0.033,37.8,0.25,0.0,0.0,136.99856991185828,0.71258,0.7288,5358,51037
1776808981.3256729,51078,2.5,-0.033,37.8,0.25,0.0,0.0,140.00622237973658,0.74982,0.7448,5638,51087
1776808981.3756728,51128,2.549999952316284,-0.033,37.8,0.24,0.0,0.0,148.9915841275231,0.78892,0.7926,5932,51137
1776808981.4256728,51178,2.5999999046325684,-0.035,37.8,0.26,0.0,0.0,152.99552147538617,0.82935,0.8139,6236,51187
1776808981.4756727,51228,2.6499998569488525,-0.036,37.8,0.25,0.0,0.0,161.99968105109693,0.87204,0.8618,6557,51237
1776808981.525673,51278,2.700000047683716,-0.037,37.8,0.25,0.0,0.0,170.00755574682302,0.91646,0.9044,6891,51287
1776808981.5756729,51328,2.75,-0.04,37.8,0.25,0.01,0.0,173.9926952667618,0.96248,0.9256,7237,51337
1776808981.6256728,51378,2.799999952316284,-0.043,37.8,0.25,0.01,0.0,183.99313972245727,1.01089,0.9788,7601,51387
1776808981.6756728,51428,2.8499999046325684,-0.045,37.8,0.25,0.01,0.0,190.00844465821393,1.06036,1.0108,7973,51437
1776808981.7256727,51478,2.8999998569488525,-0.042,37.8,0.25,0.01,0.0,190.00844465821393,1.11103,1.0108,8354,51487
1776808981.775673,51528,2.950000047683716,-0.044,37.8,0.26,0.01,0.0,195.00866688606172,1.16317,1.0374,8746,51537
1776808981.8256729,51578,3.0,-0.046,37.8,0.25,0.01,0.0,202.0014588738788,1.21623,1.0746,9145,51587
1776808981.8756728,51628,3.049999952316284,-0.048,37.8,0.25,0.01,0.0,202.99774375386357,1.26969,1.0799,9547,51637
1776808981.9256728,51678,3.0999999046325684,-0.045,37.7,0.25,0.01,0.0,200.00888911390945,1.32342,1.064,9951,51687
1776808981.9756727,51728,3.1499998569488525,-0.047,37.8,0.26,0.01,0.0,202.0014588738788,1.37769,1.0746,10359,51737
1776808982.025673,51778,3.200000047683716,-0.049,37.8,0.25,0.01,0.0,205.0091113417572,1.43155,1.0906,10764,51787
1776808982.0756729,51828,3.25,-0.044,37.8,0.25,0.01,0.0,203.99402863384825,1.48501,1.0852,11166,51837
1776808982.1256728,51878,3.299999952316284,-0.046,37.8,0.25,0.01,0.0,201.00517399389412,1.53874,1.0693,11570,51887
1776808982.1756728,51928,3.3499999046325684,-0.047,37.8,0.25,0.01,0.0,206.00539622174188,1.59393,1.0959,11985,51937
1776808982.2256727,51978,3.3999998569488525,-0.05,37.8,0.25,0.01,0.0,214.99075796952835,1.65019,1.1437,12408,51987
1776808982.275673,52028,3.450000047683716,-0.048,37.8,0.26,0.01,0.0,218.99469531739143,1.70725,1.165,12837,52037
1776808982.3256729,52078,3.5,-0.051,37.8,0.25,0.01,0.0,217.0021255574221,1.7651,1.1544,13272,52087
1776808982.3756728,52128,3.549999952316284,-0.052,37.8,0.26,0.01,0.0,221.00606290528503,1.82508,1.1757,13723,52137
