host_unix_s,device_ms,t_rel_s,duty,vbat,i_motor,i_in,rpm_vesc,rpm_spool,position_m,velocity_mps,enc_count,enc_device_ms
1776809462.7279098,314313,0.0,0.0,37.8,0.28,0.0,0.0,0.0,0.00226,0.0,17,314317
1776809462.77791,314363,0.05000019073486328,0.0,37.7,0.29,0.0,0.0,0.0,0.00226,0.0,17,314367
1776809462.82791,314413,0.10000014305114746,0.0,37.7,0.29,0.0,0.0,0.0,0.00226,0.0,17,314417
1776809462.87791,314463,0.15000009536743164,0.0,37.8,0.28,0.0,0.0,0.0,0.00226,0.0,17,314467
1776809462.92791,314513,0.20000028610229492,0.0,37.7,0.28,0.0,0.0,0.0,0.00226,0.0,17,314517
1776809462.9779098,314563,0.25,0.0,37.7,0.28,0.0,0.0,0.0,0.00226,0.0,17,314567
1776809463.02791,314613,0.3000001907348633,0.0,37.8,0.28,0.0,0.0,0.0,0.00226,0.0,17,314617
1776809463.07791,314663,0.35000014305114746,0.0,37.8,0.27,0.0,0.0,0.0,0.00226,0.0,17,314667
1776809463.12791,314713,0.40000009536743164,0.0,37.7,0.28,0.0,0.0,0.0,0.00226,0.0,17,314717
1776809463.17791,314763,0.4500002861022949,0.0,37.7,0.28,0.0,0.0,0.0,0.00226,0.0,17,314767
1776809463.2279098,314813,0.5,0.0,37.7,0.28,0.0,0.0,0.0,0.00226,0.0,17,314817
1776809463.27791,314863,0.5500001907348633,0.0,37.7,0.28,0.0,0.0,0.0,0.00239,0.0,18,314867
1776809463.32791,314913,0.6000001430511475,0.0,37.7,0.27,0.0,0.0,0.0,0.00239,0.0,18,314917
1776809463.37791,314963,0.6500000953674316,0.0,37.7,0.28,0.0,0.0,0.0,0.00239,0.0,18,314967
1776809463.42791,315013,0.7000002861022949,0.0,37.7,0.28,0.0,0.0,0.0,0.00239,0.0,18,315017
1776809463.4779098,315063,0.75,0.0,37.8,0.29,0.0,0.0,0.0,0.00239,0.0,18,315067
1776809463.52791,315113,0.8000001907348633,0.0,37.7,0.28,0.0,0.0,0.0,0.00239,0.0,18,315117
1776809463.57791,315163,0.8500001430511475,0.0,37.7,0.29,0.0,0.0,0.0,0.00239,0.0,18,315167
1776809463.62791,315213,0.9000000953674316,-0.002,37.7,0.27,0.0,0.0,18.008319151421542,0.00492,0.0958,37,315217
1776809463.67791,315263,0.9500002861022949,-0.013,37.7,0.25,0.0,0.0,62.99152137412692,0.01849,0.3351,139,315267
1776809463.7279098,315313,1.0,-0.025,37.7,0.25,0.0,0.0,107.99352142475654,0.04349,0.5745,327,315317
1776809463.77791,315363,1.0500001907348633,-0.032,37.8,0.25,0.0,0.0,156.00317394326447,0.08059,0.8299,606,315367
1776809463.82791,315413,1.1000001430511475,-0.044,37.8,0.24,0.0,0.0,188.99336195030503,0.12861,1.0054,967,315417
1776809463.87791,315463,1.1500000953674316,-0.053,37.8,0.26,0.01,0.0,234.99164688091932,0.18898,1.2501,1421,315467
1776809463.92791,315513,1.200000286102295,-0.065,37.8,0.25,0.01,0.0,288.00152162727505,0.26067,1.5321,1960,315517
1776809463.9779098,315563,1.25,-0.073,37.8,0.25,0.01,0.0,328.0032994500569,0.34273,1.7449,2577,315567
1776809464.02791,315613,1.3000001907348633,-0.091,37.8,0.25,0.02,0.0,367.0087923928541,0.43675,1.9524,3284,315617
1776809464.07791,315663,1.3500001430511475,-0.095,37.7,0.25,0.02,0.0,406.9917723877117,0.54288,2.1651,4082,315667
1776809464.12791,315713,1.4000000953674316,-0.111,37.7,0.26,0.02,0.0,451.99377243834135,0.66085,2.4045,4969,315717
1776809464.17791,315763,1.450000286102295,-0.126,37.7,0.25,0.03,0.0,500.9997098368341,0.79065,2.6652,5945,315767
1776809464.2279098,315813,1.5,-0.136,37.8,0.25,0.03,0.0,541.0014876596159,0.93176,2.878,7006,315817
1776809464.27791,315863,1.5500001907348633,-0.153,37.7,0.26,0.03,0.0,582.9958352423672,1.08417,3.1014,8152,315867
1776809464.32791,315913,1.6000001430511475,-0.164,37.8,0.26,0.04,0.0,622.997613065149,1.24735,3.3142,9379,315917
1776809464.37791,315963,1.6500000953674316,-0.165,37.8,0.25,0.04,0.0,666.0070433558093,1.42171,3.543,10690,315967
1776809464.42791,316013,1.700000286102295,-0.183,37.8,0.26,0.04,0.0,708.9976758185453,1.60737,3.7717,12086,316017
1776809464.4779098,316063,1.75,-0.192,37.8,0.26,0.05,0.0,749.9957385213118,1.80406,3.9898,13565,316067
1776809464.52791,316113,1.8000001907348633,-0.196,37.8,0.25,0.05,0.0,786.9898638762154,2.011,4.1866,15121,316117
1776809464.57791,316163,1.8500001430511475,-0.213,37.8,0.26,0.05,0.0,829.0030092868909,2.22911,4.4101,16761,316167
1776809464.62791,316213,1.9000000953674316,-0.22,37.8,0.26,0.05,0.0,869.0047871096727,2.45693,4.6229,18474,316217
1776809464.67791,316263,1.950000286102295,-0.232,37.7,0.26,0.06,0.0,905.0026275845916,2.69579,4.8144,20270,316267
1776809464.7279098,316313,2.0,-0.243,37.7,0.26,0.06,0.0,952.9934822751752,2.94582,5.0697,22150,316317
1776809464.77791,316363,2.0500001907348633,-0.249,37.7,0.26,0.06,0.0,982.9948156422618,3.20449,5.2293,24095,316367
1776809464.82791,316413,2.1000001430511475,-0.263,37.7,0.25,0.06,0.0,1022.0003085850592,3.475,5.4368,26129,316417
1776809464.87791,316463,2.1500000953674316,-0.271,37.7,0.25,0.06,0.0,1065.0097388757192,3.75509,5.6656,28235,316467
1776809464.92791,316513,2.200000286102295,-0.28,37.8,0.25,0.07,0.0,1086.0069126670949,4.04395,5.7773,30407,316517
1776809464.9779098,316563,2.25,-0.27,37.7,0.25,0.06,0.0,1037.9972601485867,4.32284,5.5219,32504,316567
1776809465.02791,316613,2.3000001907348633,-0.257,37.7,0.25,0.06,0.0,992.9952600979572,4.58949,5.2825,34509,316617
1776809465.07791,316663,2.3500001430511475,-0.246,37.8,0.26,0.06,0.0,949.0083427552364,4.84431,5.0485,36425,316667
1776809465.12791,316713,2.4000000953674316,-0.232,37.8,0.24,0.06,0.0,897.9910377688502,5.08662,4.7771,38247,316717
1776809465.17791,316763,2.450000286102295,-0.233,37.7,0.25,0.05,0.0,853.0078355461449,5.31657,4.5378,39976,316767
1776809465.2279098,316813,2.5,-0.222,37.7,0.26,0.05,0.0,813.006057723363,5.53548,4.325,41622,316817
1776809465.27791,316863,2.5500001907348633,-0.198,37.8,0.25,0.05,0.0,772.0079950205966,5.74348,4.1069,43186,316867
1776809465.32791,316913,2.6000001430511475,-0.196,37.8,0.25,0.04,0.0,727.0059949699669,5.94005,3.8675,44664,316917
1776809465.37791,316963,2.6500000953674316,-0.186,37.8,0.25,0.04,0.0,684.9928495592914,6.12478,3.644,46053,316967
1776809465.42791,317013,2.700000286102295,-0.167,37.7,0.26,0.04,0.0,644.9910717365094,6.299,3.4312,47363,317017
