host_unix_s,device_ms,t_rel_s,duty,vbat,i_motor,i_in,rpm_vesc,rpm_spool,position_m,velocity_mps,enc_count,enc_device_ms
1776809548.68591,400271,0.0,0.0,37.7,0.28,0.0,0.0,0.0,0.00013,0.0,1,400292
1776809548.73591,400321,0.04999995231628418,0.0,37.7,0.28,0.0,0.0,0.0,0.00013,0.0,1,400317
1776809548.78591,400371,0.09999990463256836,0.0,37.7,0.29,0.0,0.0,0.0,0.00013,0.0,1,400367
1776809548.8359098,400421,0.14999985694885254,0.0,37.7,0.28,0.0,0.0,0.0,0.00013,0.0,1,400417
1776809548.88591,400471,0.20000004768371582,0.0,37.7,0.28,0.0,0.0,0.0,0.00013,0.0,1,400467
1776809548.93591,400521,0.25,0.0,37.7,0.27,0.0,0.0,0.0,0.00013,0.0,1,400517
1776809548.98591,400571,0.2999999523162842,0.0,37.7,0.28,0.0,0.0,0.0,0.00013,0.0,1,400567
1776809549.03591,400621,0.34999990463256836,0.0,37.7,0.28,0.0,0.0,0.0,0.00013,0.0,1,400617
1776809549.0859098,400671,0.39999985694885254,0.0,37.7,0.29,0.0,0.0,0.0,0.00013,0.0,1,400667
1776809549.13591,400721,0.4500000476837158,0.0,37.7,0.27,0.0,0.0,0.0,0.00027,0.0,2,400717
1776809549.18591,400771,0.5,0.0,37.7,0.28,0.0,0.0,0.0,0.00027,0.0,2,400767
1776809549.23591,400821,0.5499999523162842,0.0,37.7,0.27,0.0,0.0,0.0,0.00027,0.0,2,400817
1776809549.28591,400871,0.5999999046325684,0.0,37.8,0.28,0.0,0.0,0.0,0.00027,0.0,2,400867
1776809549.3359098,400921,0.6499998569488525,0.0,37.7,0.26,0.0,0.0,0.0,0.00027,0.0,2,400917
1776809549.38591,400971,0.7000000476837158,-0.011,37.7,0.25,0.0,0.0,25.99739601922338,0.00505,0.1383,38,400967
1776809549.43591,401021,0.75,-0.022,37.7,0.26,0.0,0.0,71.99568094983769,0.02115,0.383,159,401017
1776809549.48591,401071,0.7999999523162842,-0.032,37.7,0.25,0.0,0.0,112.99374365260428,0.04894,0.6011,368,401067
