host_unix_s,device_ms,t_rel_s,duty,vbat,i_motor,i_in,rpm_vesc,rpm_spool,position_m,velocity_mps,enc_count,enc_device_ms
1776812430.4246151,335900,0.0,0.0,37.6,0.27,0.0,0.0,0.0,0.00027,0.0,2,335904
1776812430.474615,335950,0.05,0.0,37.6,0.29,0.0,0.0,0.0,0.00027,0.0,2,335954
1776812430.524615,336000,0.1,0.0,37.6,0.25,0.0,0.0,0.0,0.00027,0.0,2,336004
1776812430.574615,336050,0.15,0.013,37.7,0.98,0.01,0.0,0.0,0.00027,0.0,2,336054
1776812430.6246152,336100,0.2,0.013,37.6,0.98,0.01,0.0,0.0,0.00027,0.0,2,336104
1776812430.6746151,336150,0.25,0.013,37.6,0.98,0.01,0.0,0.0,0.00027,0.0,2,336154
1776812430.724615,336200,0.3,0.013,37.6,0.98,0.01,0.0,0.0,0.0004,0.0,3,336204
1776812430.774615,336250,0.35,0.013,37.6,0.98,0.01,0.0,1.9925697599693986,0.00093,0.0106,7,336254
1776812430.824615,336300,0.4,0.005,37.6,1.55,0.01,0.0,33.00898583496475,0.00825,0.1756,62,336304
1776812430.8746152,336350,0.45,0.005,37.7,3.96,0.02,0.0,75.99961829770074,0.0258,0.4043,194,336354
1776812430.9246151,336400,0.5,0.005,37.6,7.3,0.03,0.0,121.00161834833035,0.05506,0.6437,414,336404
1776812430.974615,336450,0.55,0.005,37.7,10.83,0.05,0.0,161.99968105109693,0.09615,0.8618,723,336454
1776812431.024615,336500,0.6,0.005,37.6,12.55,0.06,0.0,182.99685484247257,0.14284,0.9735,1074,336504
1776812431.074615,336550,0.65,0.005,37.6,15.59,0.08,0.0,197.99752152601576,0.19577,1.0533,1472,336554
1776812431.1246152,336600,0.7,0.005,37.7,16.31,0.08,0.0,218.99469531739143,0.25295,1.165,1902,336604
1776812431.1746151,336650,0.75,0.005,37.6,16.44,0.08,0.0,233.9953620009346,0.31267,1.2448,2351,336654
1776812431.224615,336700,0.8,0.005,37.6,17.2,0.08,0.0,237.00301446881295,0.37385,1.2608,2811,336704
1776812431.274615,336750,0.85,0.005,37.6,18.01,0.09,0.0,234.99164688091932,0.43649,1.2501,3282,336754
1776812431.324615,336800,0.9,0.005,37.6,18.95,0.09,0.0,233.9953620009346,0.50006,1.2448,3760,336804
1776812431.3746152,336850,0.95,0.005,37.7,19.47,0.1,0.0,236.00672958882828,0.56469,1.2555,4246,336854
1776812431.4246151,336900,1.0,0.005,37.6,19.25,0.09,0.0,236.00672958882828,0.62946,1.2555,4733,336904
1776812431.474615,336950,1.05,0.005,37.6,19.34,0.1,0.0,241.006951816676,0.69463,1.2821,5223,336954
1776812431.524615,337000,1.1,0.005,37.7,19.11,0.09,0.0,242.9995215766454,0.7598,1.2927,5713,337004
1776812431.574615,337050,1.15,0.005,37.6,19.01,0.09,0.0,247.00345892450844,0.82483,1.314,6202,337054
1776812431.6246152,337100,1.2,0.005,37.6,18.68,0.09,0.0,248.99602868447784,0.8896,1.3246,6689,337104
1776812431.6746151,337150,1.25,0.005,37.6,18.29,0.09,0.0,247.99974380449314,0.9541,1.3193,7174,337154
1776812431.724615,337200,1.3,0.005,37.6,18.55,0.09,0.0,247.00345892450844,1.01847,1.314,7658,337204
1776812431.774615,337250,1.35,0.005,37.6,18.65,0.09,0.0,244.99209133661478,1.0831,1.3033,8144,337254
1776812431.824615,337300,1.4,0.005,37.6,19.12,0.09,0.0,242.9995215766454,1.14774,1.2927,8630,337304
1776812431.8746152,337350,1.45,0.005,37.6,19.49,0.1,0.0,239.99186910876705,1.21277,1.2767,9119,337354
1776812431.9246151,337400,1.5,0.005,37.7,19.49,0.1,0.0,237.99929934879768,1.27794,1.2661,9609,337404
1776812431.974615,337450,1.55,0.005,37.6,19.92,0.1,0.0,239.99186910876705,1.34351,1.2767,10102,337454
1776812432.024615,337500,1.6,0.005,37.6,19.71,0.1,0.0,239.99186910876705,1.40921,1.2767,10596,337504
1776812432.074615,337550,1.65,0.005,37.6,19.71,0.1,0.0,246.00717404452377,1.47504,1.3087,11091,337554
1776812432.1246152,337600,1.7,0.005,37.6,19.44,0.1,0.0,248.99602868447784,1.541,1.3246,11587,337604
1776812432.1746151,337650,1.75,0.005,37.6,19.04,0.09,0.0,248.99602868447784,1.6067,1.3246,12081,337654
1776812432.224615,337700,1.8,0.005,37.6,19.04,0.09,0.0,252.99996603234086,1.6724,1.3459,12575,337704
1776812432.274615,337750,1.85,0.005,37.6,18.75,0.09,0.0,249.99231356446256,1.73757,1.3299,13065,337754
1776812432.324615,337800,1.9,0.005,37.7,18.8,0.09,0.0,251.0073962723715,1.80247,1.3353,13553,337804
1776812432.3746152,337850,1.95,0.005,37.6,18.78,0.09,0.0,247.00345892450844,1.8671,1.314,14039,337854
1776812432.4246151,337900,2.0,0.005,37.6,18.71,0.09,0.0,242.0032366966607,1.93147,1.2874,14523,337904
1776812432.474615,337950,2.05,0.005,37.7,19.17,0.09,0.0,242.0032366966607,1.99611,1.2874,15009,337954
1776812432.524615,338000,2.1,0.005,37.6,19.34,0.1,0.0,237.99929934879768,2.06074,1.2661,15495,338004
1776812432.574615,338050,2.15,0.005,37.6,19.64,0.1,0.0,238.99558422878238,2.12564,1.2714,15983,338054
1776812432.6246152,338100,2.2,0.005,37.6,19.74,0.1,0.0,242.0032366966607,2.19121,1.2874,16476,338104
1776812432.6746151,338150,2.25,0.005,37.6,19.39,0.1,0.0,242.0032366966607,2.25651,1.2874,16967,338154
1776812432.724615,338200,2.3,0.005,37.7,19.48,0.1,0.0,247.99974380449314,2.32248,1.3193,17463,338204
1776812432.774615,338250,2.35,0.005,37.6,19.33,0.1,0.0,247.00345892450844,2.38804,1.314,17956,338254
1776812432.824615,338300,2.4,0.005,37.6,19.3,0.1,0.0,252.00368115235617,2.45387,1.3406,18451,338304
1776812432.8746152,338350,2.45,0.005,37.7,19.01,0.09,0.0,252.99996603234086,2.51971,1.3459,18946,338354
1776812432.9246151,338400,2.5,0.005,37.6,18.73,0.09,0.0,252.99996603234086,2.58514,1.3459,19438,338404
1776812432.974615,338450,2.55,0.005,37.6,18.82,0.09,0.0,252.99996603234086,2.65057,1.3459,19930,338454
1776812433.024615,338500,2.6,0.005,37.6,18.88,0.09,0.0,244.99209133661478,2.71507,1.3033,20415,338504
1776812433.074615,338550,2.65,0.005,37.6,19.17,0.09,0.0,243.9958064566301,2.77984,1.298,20902,338554
1776812433.1246152,338600,2.7,0.005,37.7,19.08,0.09,0.0,238.99558422878238,2.84421,1.2714,21386,338604
1776812433.1746151,338650,2.75,0.005,37.6,19.06,0.09,0.0,237.00301446881295,2.90845,1.2608,21869,338654
1776812433.224615,338700,2.8,0.005,37.6,19.28,0.1,0.0,238.99558422878238,2.97335,1.2714,22357,338704
1776812433.274615,338750,2.85,0.005,37.7,19.23,0.09,0.0,237.00301446881295,3.03772,1.2608,22841,338754
1776812433.324615,338800,2.9,0.005,37.6,19.57,0.1,0.0,242.9995215766454,3.10302,1.2927,23332,338804
