host_unix_s,device_ms,t_rel_s,duty,vbat,i_motor,i_in,rpm_vesc,rpm_spool,position_m,velocity_mps,enc_count,enc_device_ms
1776810067.253625,149819,0.0,0.0,37.7,0.28,0.0,0.0,0.0,0.00013,0.0,1,149824
1776810067.3036249,149869,0.05,0.0,37.7,0.28,0.0,0.0,0.0,0.00013,0.0,1,149874
1776810067.353625,149919,0.1,0.013,37.8,0.98,0.01,0.0,0.0,0.00013,0.0,1,149924
1776810067.403625,149969,0.15,0.013,37.8,0.98,0.01,0.0,0.0,0.00013,0.0,1,149974
1776810067.453625,150019,0.2,0.013,37.8,0.98,0.01,0.0,0.0,0.0,0.0,0,150024
1776810067.503625,150069,0.25,0.012,37.8,1.0,0.01,0.0,21.993458671360344,0.00372,0.117,28,150074
1776810067.5536249,150119,0.3,0.005,37.8,2.74,0.01,0.0,50.00222227847736,0.01569,0.266,118,150124
1776810067.603625,150169,0.35,0.005,37.8,3.94,0.02,0.0,67.99174360197466,0.03298,0.3617,248,150174
1776810067.653625,150219,0.4,0.005,37.8,4.65,0.02,0.0,75.99961829770074,0.05267,0.4043,396,150224
1776810067.703625,150269,0.45,0.005,37.8,4.86,0.02,0.0,80.00355564556376,0.07408,0.4256,557,150274
1776810067.753625,150319,0.5,0.005,37.8,4.59,0.02,0.0,80.00355564556376,0.09536,0.4256,717,150324
1776810067.8036249,150369,0.55,0.005,37.8,4.78,0.02,0.0,82.99241028551786,0.11703,0.4415,880,150374
1776810067.853625,150419,0.6,0.005,37.8,4.94,0.02,0.0,86.00006275339621,0.13991,0.4575,1052,150424
1776810067.903625,150469,0.65,0.005,37.8,5.01,0.02,0.0,84.00749299342681,0.16225,0.4469,1220,150474
1776810067.953625,150519,0.7,0.005,37.8,5.02,0.02,0.0,82.99241028551786,0.18433,0.4415,1386,150524
1776810068.003625,150569,0.75,0.005,37.8,4.93,0.02,0.0,90.00400010125924,0.20787,0.4788,1563,150574
1776810068.0536249,150619,0.8,0.005,37.8,5.4,0.02,0.0,86.00006275339621,0.23088,0.4575,1736,150624
1776810068.103625,150669,0.85,0.005,37.8,5.02,0.02,0.0,85.00377787341151,0.25349,0.4522,1906,150674
1776810068.153625,150719,0.9,0.005,37.8,5.3,0.02,0.0,91.00028498124394,0.27716,0.4841,2084,150724
1776810068.203625,150769,0.95,0.005,37.8,5.3,0.02,0.0,85.00377787341151,0.3003,0.4522,2258,150774
1776810068.253625,150819,1.0,0.005,37.8,4.97,0.02,0.0,86.9963476333809,0.32291,0.4628,2428,150824
1776810068.3036249,150869,1.05,0.005,37.8,5.44,0.02,0.0,87.9926325133656,0.34645,0.4681,2605,150874
