host_unix_s,device_ms,t_rel_s,duty,vbat,i_motor,i_in,rpm_vesc,rpm_spool,position_m,velocity_mps,enc_count,enc_device_ms
1776812323.067615,228543,0.0,0.0,37.6,0.26,0.0,0.0,0.0,0.00027,0.0,2,228554
1776812323.1176152,228593,0.05,0.0,37.6,0.27,0.0,0.0,0.0,0.00027,0.0,2,228604
1776812323.1676152,228643,0.1,0.0,37.6,0.26,0.0,0.0,-0.9962848799846993,0.00027,-0.0053,2,228654
1776812323.2176151,228693,0.15,0.014,37.7,1.97,0.02,0.0,0.0,0.00027,0.0,2,228704
1776812323.267615,228743,0.2,0.014,37.7,1.96,0.02,0.0,0.0,0.00027,0.0,2,228754
1776812323.317615,228793,0.25,0.014,37.7,1.96,0.02,0.0,-0.9962848799846993,0.00013,-0.0053,1,228804
1776812323.3676152,228843,0.3,0.015,37.7,1.96,0.02,0.0,14.004381803558507,0.00226,0.0745,17,228854
1776812323.4176152,228893,0.35,0.005,37.7,2.14,0.02,0.0,49.005937398492655,0.01184,0.2607,89,228904
1776812323.4676151,228943,0.4,0.005,37.7,4.35,0.02,0.0,86.00006275339621,0.03245,0.4575,244,228954
1776812323.517615,228993,0.45,0.005,37.7,8.14,0.04,0.0,138.99113967182765,0.06597,0.7394,496,229004
1776812323.567615,229043,0.5,0.005,37.7,11.5,0.05,0.0,162.99596593108163,0.10812,0.8671,813,229054
1776812323.6176152,229093,0.55,0.005,37.7,13.15,0.06,0.0,197.99752152601576,0.15813,1.0533,1189,229104
1776812323.6676152,229143,0.6,0.005,37.7,14.69,0.07,0.0,208.99425086169595,0.21199,1.1118,1594,229154
1776812323.7176151,229193,0.65,0.005,37.7,16.59,0.08,0.0,213.9944730895437,0.26971,1.1384,2028,229204
1776812323.767615,229243,0.7,0.005,37.7,17.74,0.09,0.0,224.9912024252239,0.33062,1.1969,2486,229254
1776812323.817615,229293,0.75,0.005,37.7,17.89,0.09,0.0,237.99929934879768,0.39353,1.2661,2959,229304
1776812323.8676152,229343,0.8,0.005,37.7,17.72,0.09,0.0,244.99209133661478,0.45723,1.3033,3438,229354
1776812323.9176152,229393,0.85,0.005,37.7,18.22,0.09,0.0,248.99602868447784,0.52174,1.3246,3923,229404
1776812323.9676151,229443,0.9,0.005,37.7,18.22,0.09,0.0,251.0073962723715,0.58664,1.3353,4411,229454
1776812324.017615,229493,0.95,0.005,37.7,18.31,0.09,0.0,248.99602868447784,0.65167,1.3246,4900,229504
1776812324.067615,229543,1.0,0.005,37.7,18.75,0.09,0.0,246.00717404452377,0.71671,1.3087,5389,229554
1776812324.1176152,229593,1.05,0.005,37.7,18.98,0.09,0.0,241.006951816676,0.78161,1.2821,5877,229604
1776812324.1676152,229643,1.1,0.005,37.7,19.32,0.1,0.0,239.99186910876705,0.84677,1.2767,6367,229654
1776812324.2176151,229693,1.15,0.005,37.7,19.35,0.1,0.0,238.99558422878238,0.91181,1.2714,6856,229704
1776812324.267615,229743,1.2,0.005,37.7,18.99,0.09,0.0,241.006951816676,0.97684,1.2821,7345,229754
1776812324.317615,229793,1.25,0.005,37.7,18.95,0.09,0.0,243.9958064566301,1.04227,1.298,7837,229804
1776812324.3676152,229843,1.3,0.005,37.7,18.73,0.09,0.0,246.00717404452377,1.10757,1.3087,8328,229854
1776812324.4176152,229893,1.35,0.005,37.7,18.89,0.09,0.0,249.99231356446256,1.17341,1.3299,8823,229904
1776812324.4676151,229943,1.4,0.005,37.7,18.56,0.09,0.0,253.99625091232556,1.23924,1.3512,9318,229954
1776812324.517615,229993,1.45,0.005,37.7,18.42,0.09,0.0,252.00368115235617,1.3048,1.3406,9811,230004
1776812324.567615,230043,1.5,0.005,37.7,18.78,0.09,0.0,252.99996603234086,1.37104,1.3459,10309,230054
1776812324.6176152,230093,1.55,0.005,37.7,18.86,0.09,0.0,249.99231356446256,1.43674,1.3299,10803,230104
1776812324.6676152,230143,1.6,0.005,37.7,19.38,0.1,0.0,247.99974380449314,1.50283,1.3193,11300,230154
1776812324.7176151,230193,1.65,0.005,37.7,19.31,0.1,0.0,244.99209133661478,1.5688,1.3033,11796,230204
1776812324.767615,230243,1.7,0.005,37.7,19.38,0.1,0.0,242.9995215766454,1.63463,1.2927,12291,230254
1776812324.817615,230293,1.75,0.005,37.7,19.39,0.1,0.0,242.0032366966607,1.7006,1.2874,12787,230304
1776812324.8676152,230343,1.8,0.005,37.7,19.42,0.1,0.0,242.0032366966607,1.76603,1.2874,13279,230354
1776812324.9176152,230393,1.85,0.005,37.7,19.41,0.1,0.0,239.99186910876705,1.83146,1.2767,13771,230404
1776812324.9676151,230443,1.9,0.005,37.7,19.04,0.09,0.0,242.9995215766454,1.89703,1.2927,14264,230454
