host_unix_s,device_ms,t_rel_s,duty,vbat,i_motor,i_in,rpm_vesc,rpm_spool,position_m,velocity_mps,enc_count,enc_device_ms
1776721811.474445,120759,0.0,0.03,37.8,0.28,0.0,0.0,0.0,-0.97338,0.0,-7319,120759
1776721811.599445,120884,0.125,0.03,37.8,2.52,0.07,0.0,-65.00288896202056,-0.99147,-0.3458,-7455,120879
1776721811.724445,121009,0.25,0.03,37.8,1.73,0.05,0.0,-72.50322230379216,-1.03855,-0.3857,-7809,121009
1776721811.849445,121134,0.375,0.03,37.8,1.71,0.05,0.0,-75.00333341771605,-1.08364,-0.399,-8148,121129
1776721811.974445,121259,0.5,0.03,37.8,1.72,0.05,0.0,-72.50322230379216,-1.13125,-0.3857,-8506,121259
1776721812.099445,121384,0.625,0.03,37.8,1.83,0.05,0.0,-67.50300007594443,-1.17434,-0.3591,-8830,121379
1776721812.224445,121509,0.75,0.03,37.8,1.95,0.05,0.0,-65.00288896202056,-1.22009,-0.3458,-9174,121509
1776721812.349445,121634,0.875,0.03,37.8,1.94,0.05,0.0,-62.5027778480967,-1.26225,-0.3325,-9491,121629
1776721812.474445,121759,1.0,0.03,37.8,2.04,0.06,0.0,-60.00266673417282,-1.30401,-0.3192,-9805,121759
1776721812.599445,121884,1.125,0.03,37.8,2.13,0.06,0.0,-55.0024445063251,-1.34337,-0.2926,-10101,121879
1776721812.724445,122009,1.25,0.03,37.8,2.08,0.06,0.0,-65.00288896202056,-1.38633,-0.3458,-10424,122009
1776721812.849445,122134,1.375,0.03,37.8,2.16,0.06,0.0,-62.5027778480967,-1.42516,-0.3325,-10716,122129
1776721812.974445,122259,1.5,0.03,37.8,2.09,0.06,0.0,-60.00266673417282,-1.46852,-0.3192,-11042,122259
1776721813.099445,122384,1.625,0.03,37.8,2.04,0.06,0.0,-62.5027778480967,-1.50948,-0.3325,-11350,122379
1776721813.224445,122509,1.75,0.03,37.8,2.04,0.06,0.0,-62.5027778480967,-1.55177,-0.3325,-11668,122499
1776721813.349445,122634,1.875,0.03,37.8,2.04,0.06,0.0,-67.50300007594443,-1.59846,-0.3591,-12019,122629
1776721813.474445,122759,2.0,0.03,37.8,1.8,0.05,0.0,-70.00311118986829,-1.6458,-0.3724,-12375,122759
1776721813.599445,122884,2.125,0.03,37.8,1.69,0.05,0.0,-62.5027778480967,-1.69049,-0.3325,-12711,122879
1776721813.724445,123009,2.25,0.03,37.8,1.61,0.04,0.0,-72.50322230379216,-1.74049,-0.3857,-13087,123009
1776721813.849445,123134,2.375,0.03,37.8,1.64,0.04,0.0,-72.50322230379216,-1.78691,-0.3857,-13436,123129
1776721813.974445,123259,2.5,0.03,37.8,1.66,0.04,0.0,-75.00333341771605,-1.83745,-0.399,-13816,123259
1776721814.099445,123384,2.625,0.03,37.8,1.62,0.04,0.0,-72.50322230379216,-1.8836,-0.3857,-14163,123379
1776721814.224445,123509,2.75,0.03,37.8,1.7,0.05,0.0,-72.50322230379216,-1.9324,-0.3857,-14530,123509
1776721814.349445,123634,2.875,0.03,37.8,1.7,0.05,0.0,-72.50322230379216,-1.97722,-0.3857,-14867,123629
1776721814.474445,123759,3.0,0.03,37.8,1.76,0.05,0.0,-72.50322230379216,-2.0263,-0.3857,-15236,123759
