host_unix_s,device_ms,t_rel_s,duty,vbat,i_motor,i_in,rpm_vesc,rpm_spool,position_m,velocity_mps,enc_count,enc_device_ms
1776723356.2613277,86568,0.0,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,86572
1776723356.3013277,86608,0.04,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,86612
1776723356.341328,86648,0.08,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,86652
1776723356.3813279,86688,0.12,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,86692
1776723356.4213278,86728,0.16,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,86732
1776723356.4613278,86768,0.2,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,86772
1776723356.5013278,86808,0.24,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,86812
1776723356.5413277,86848,0.28,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,86852
1776723356.581328,86888,0.32,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,86892
1776723356.6213279,86928,0.36,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,86932
1776723356.6613278,86968,0.4,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,86972
1776723356.7013278,87008,0.44,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87012
1776723356.7413278,87048,0.48,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87052
1776723356.7813277,87088,0.52,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,87092
1776723356.821328,87128,0.56,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,87132
1776723356.861328,87168,0.6,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87172
1776723356.9013278,87208,0.64,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,87212
1776723356.9413278,87248,0.68,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87252
1776723356.9813278,87288,0.72,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,87292
1776723357.0213277,87328,0.76,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87332
1776723357.061328,87368,0.8,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87372
1776723357.101328,87408,0.84,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,87412
1776723357.1413279,87448,0.88,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87452
1776723357.1813278,87488,0.92,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87492
1776723357.2213278,87528,0.96,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87532
1776723357.2613277,87568,1.0,0.0,37.8,0.26,0.0,0.0,0.0,0.0,0.0,0,87572
1776723357.3013277,87608,1.04,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87612
1776723357.341328,87648,1.08,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87652
1776723357.3813279,87688,1.12,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87692
1776723357.4213278,87728,1.16,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87732
1776723357.4613278,87768,1.2,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87772
1776723357.5013278,87808,1.24,0.0,37.8,0.27,0.0,0.0,0.0,0.0,0.0,0,87812
