index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A
0,0,0.0000,0.000000,0.00000,0.0000,-0.2030
1,2,0.0020,0.000000,0.00000,0.0000,-0.1954
2,10,0.0100,0.000000,0.00000,0.0000,-0.1633
3,20,0.0200,0.000000,0.00000,0.0000,-0.1206
4,30,0.0300,0.000000,0.00000,0.0000,-0.1480
5,40,0.0400,0.000000,0.00000,0.0000,-0.2060
6,50,0.0500,0.000000,0.00000,0.0000,-0.1465
7,60,0.0600,0.000000,0.00000,0.0000,-0.1862
8,70,0.0700,0.000000,0.00000,0.0000,-0.1938
9,80,0.0800,0.000000,0.00000,0.0000,-0.1938
10,90,0.0900,0.000000,0.00000,0.0000,-0.2198
11,100,0.1000,0.000000,0.00000,0.0000,-0.1511
12,110,0.1100,0.000000,0.00000,0.0000,-0.1816
13,120,0.1200,0.000000,0.00000,0.0000,-0.2228
14,130,0.1300,0.000000,0.00000,0.0000,-0.1694
15,140,0.1400,0.000000,0.00000,0.0000,-0.1725
16,150,0.1500,0.000000,0.00000,0.0000,-0.1099
17,160,0.1600,0.000000,0.00000,0.0000,-0.1450
18,170,0.1700,0.000000,0.00000,0.0000,-0.1572
19,180,0.1800,0.000000,0.00000,0.0000,-0.0504
20,190,0.1900,0.000000,0.00000,0.0000,-0.1938
21,200,0.2000,0.000000,0.00000,0.0000,-0.1404
22,210,0.2100,0.000000,0.00000,0.0000,-0.1816
23,220,0.2200,0.000000,0.00000,0.0000,-0.2656
24,230,0.2300,0.000000,0.00000,0.0000,-0.1389
25,240,0.2400,0.000000,0.00000,0.0000,-0.2198
26,250,0.2500,0.000000,0.00000,0.0000,-0.2763
27,260,0.2600,0.000000,0.00000,0.0000,-0.1389
28,270,0.2700,0.000000,0.00000,0.0000,-0.2228
29,280,0.2800,0.000000,0.00000,0.0000,-0.1450
30,290,0.2900,0.000000,0.00000,0.0000,-0.1557
31,300,0.3000,0.000000,0.00000,0.0000,-0.2015
32,310,0.3100,0.000000,0.00000,0.0000,-0.1252
33,320,0.3200,0.000000,0.00000,0.0000,-0.1572
34,330,0.3300,0.000000,0.00000,0.0000,-0.1831
35,340,0.3400,0.000000,0.00000,0.0000,-0.1633
36,350,0.3500,0.000000,0.00000,0.0000,-0.2045
37,360,0.3600,0.000000,0.00000,0.0000,-0.2259
38,370,0.3700,0.000000,0.00000,0.0000,-0.2274
39,380,0.3800,0.000000,0.00000,0.0000,-0.1526
40,390,0.3900,0.000000,0.00000,0.0000,-0.1831
41,400,0.4000,0.000000,0.00000,0.0000,-0.1252
42,410,0.4100,0.000000,0.00000,0.0000,-0.1206
43,420,0.4200,0.000000,0.00000,0.0000,-0.2473
44,430,0.4300,0.000000,0.00000,0.0000,-0.2167
45,440,0.4400,0.000000,0.00000,0.0000,-0.1816
46,450,0.4500,0.000000,0.00000,0.0000,-0.0641
47,460,0.4600,0.000000,0.00000,0.0000,-0.1404
48,470,0.4700,0.000000,0.00000,0.0000,-0.1374
49,480,0.4800,0.000000,0.00000,0.0000,-0.1190
50,490,0.4900,0.000000,0.00000,0.0000,-0.0488
51,500,0.5000,0.000000,0.00000,0.0000,-0.0565
52,510,0.5100,0.000000,0.00000,0.0000,-0.1816
53,520,0.5200,0.000000,0.00000,0.0000,-0.0412
54,530,0.5300,0.000000,0.00000,0.0000,-0.0748
55,540,0.5400,0.000000,0.00000,0.0000,-0.2763
56,550,0.5500,0.000000,0.00000,0.0000,-0.2518
57,560,0.5600,0.000000,0.00000,0.0000,-0.1297
58,570,0.5700,0.000000,0.00000,0.0000,-0.1740
59,580,0.5800,0.000000,0.00000,0.0000,-0.1587
60,590,0.5900,0.000000,0.00000,0.0000,-0.1526
61,600,0.6000,0.000000,0.00000,0.0000,-0.1938
62,610,0.6100,0.000000,0.00000,0.0000,-0.1572
63,620,0.6200,0.000000,0.00000,0.0000,-0.2549
64,630,0.6300,0.000000,0.00000,0.0000,-0.1511
65,640,0.6400,0.000000,0.00000,0.0000,-0.1404
66,650,0.6500,0.000000,0.00000,0.0000,-0.2335
67,660,0.6600,0.000000,0.00000,0.0000,-0.0809
68,670,0.6700,0.000000,0.00000,0.0000,-0.1526
69,680,0.6800,0.000000,0.00000,0.0000,-0.1908
70,690,0.6900,0.000000,0.00000,0.0000,-0.1725
71,700,0.7000,0.000000,0.00000,0.0000,-0.1328
72,710,0.7100,0.000000,0.00000,0.0000,-0.1358
73,720,0.7200,0.000000,0.00000,0.0000,-0.1374
74,730,0.7300,0.000000,0.00000,0.0000,-0.2015
75,740,0.7400,0.000000,0.00000,0.0000,-0.1145
76,750,0.7500,0.000000,0.00000,0.0000,-0.1862
77,760,0.7600,0.000000,0.00000,0.0000,-0.1206
78,770,0.7700,0.000000,0.00000,0.0000,-0.0610
79,780,0.7800,0.000000,0.00000,0.0000,-0.1435
80,790,0.7900,0.000000,0.00000,0.0000,-0.2457
81,800,0.8000,0.000000,0.00000,0.0000,-0.2289
82,810,0.8100,0.000000,0.00000,0.0000,-0.0916
83,820,0.8200,0.000000,0.00000,0.0000,-0.1297
84,830,0.8300,0.000000,0.00000,0.0000,-0.2442
85,840,0.8400,0.000000,0.00000,0.0000,-0.0305
86,850,0.8500,0.000000,0.00000,0.0000,-0.1633
87,860,0.8600,0.000000,0.00000,0.0000,-0.1450
88,870,0.8700,0.000000,0.00000,0.0000,-0.1801
89,880,0.8800,0.000000,0.00000,0.0000,-0.1969
90,890,0.8900,0.000000,0.00000,0.0000,-0.2076
91,900,0.9000,0.000000,0.00000,0.0000,-0.1954
92,910,0.9100,0.000000,0.00000,0.0000,-0.2030
93,920,0.9200,0.000000,0.00000,0.0000,-0.1160
94,930,0.9300,0.000000,0.00000,0.0000,-0.2228
95,940,0.9400,0.000000,0.00000,0.0000,-0.0427
96,950,0.9500,0.000000,0.00000,0.0000,-0.2106
97,960,0.9600,0.000000,0.00000,0.0000,-0.1404
98,970,0.9700,0.000000,0.00000,0.0000,-0.2366
99,980,0.9800,0.000000,0.00000,0.0000,-0.1618
100,990,0.9900,0.000000,0.00000,0.0000,10.6792
101,1000,1.0000,0.000000,0.00000,0.0000,15.1343
102,1010,1.0100,0.000000,0.00000,0.0000,15.1404
103,1020,1.0200,0.000000,0.00000,0.0000,15.1435
104,1030,1.0300,0.000000,0.00000,0.0000,14.6093
