index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A,error_A,cmd_duty_pct,cmd_pwm,dir_sign
0,0,0.0000,0.000000,0.00000,0.0000,-2.2711,3.2711,0.00,0,0
1,0,0.0000,0.000000,0.00000,0.0000,-2.3565,3.3565,0.00,0,0
2,1,0.0010,0.000000,0.00000,0.0000,-2.3443,3.3443,0.00,0,0
3,2,0.0020,0.000000,0.00000,0.0000,-2.4237,3.4237,0.00,0,0
4,6,0.0060,0.000000,0.00000,0.0000,-2.3932,3.3932,0.00,0,0
5,10,0.0100,0.000000,0.00000,0.0000,-2.5702,3.5702,0.00,0,0
6,14,0.0140,0.000000,0.00000,0.0000,-2.5580,3.5580,0.00,0,0
7,18,0.0180,0.000000,0.00000,0.0000,-2.5824,3.5824,0.00,0,0
8,22,0.0220,0.000000,0.00000,0.0000,-2.6496,3.6496,0.00,0,0
9,26,0.0260,0.000000,0.00000,0.0000,-2.6557,3.6557,0.00,0,0
10,30,0.0300,0.000000,0.00000,0.0000,-2.3993,3.3993,0.00,0,0
11,34,0.0340,0.000000,0.00000,0.0000,-2.5458,3.5458,0.00,0,0
12,38,0.0380,0.000000,0.00000,0.0000,-2.4969,3.4969,0.00,0,0
13,42,0.0420,0.000000,0.00000,0.0000,-2.4786,3.4786,0.00,0,0
14,46,0.0460,0.000000,0.00000,0.0000,-2.4481,3.4481,0.00,0,0
15,50,0.0500,0.000000,0.00000,0.0000,-2.6923,3.6923,0.00,0,0
16,54,0.0540,0.000000,0.00000,0.0000,-2.6374,3.6374,0.00,0,0
17,58,0.0580,0.000000,0.00000,0.0000,-2.6740,3.6740,0.00,0,0
18,62,0.0620,0.000000,0.00000,0.0000,-2.6923,3.6923,0.00,0,0
19,66,0.0660,0.000000,0.00000,0.0000,-2.6374,3.6374,0.00,0,0
20,70,0.0700,0.000000,0.00000,0.0000,-2.5458,3.5458,0.00,0,0
21,74,0.0740,0.000000,0.00000,0.0000,-2.4603,3.4603,0.00,0,0
22,78,0.0780,0.000000,0.00000,0.0000,-2.5153,3.5153,0.00,0,0
23,82,0.0820,0.000000,0.00000,0.0000,-2.4603,3.4603,0.00,0,0
24,86,0.0860,0.000000,0.00000,0.0000,-2.5702,3.5702,0.00,0,0
25,90,0.0900,0.000000,0.00000,0.0000,-2.6068,3.6068,0.00,0,0
26,94,0.0940,0.000000,0.00000,0.0000,-2.6374,3.6374,0.00,0,0
27,98,0.0980,0.000000,0.00000,0.0000,-2.5885,3.5885,0.00,0,0
28,102,0.1020,0.000000,0.00000,0.0000,-2.5458,3.5458,0.00,0,0
29,106,0.1060,0.000000,0.00000,0.0000,-2.5336,3.5336,0.00,0,0
30,110,0.1100,0.000000,0.00000,0.0000,-2.5519,3.5519,0.00,0,0
31,114,0.1140,0.000000,0.00000,0.0000,-2.5153,3.5153,0.00,0,0
32,118,0.1180,0.000000,0.00000,0.0000,-2.4969,3.4969,0.00,0,0
33,122,0.1220,0.000000,0.00000,0.0000,-2.6007,3.6007,0.00,0,0
34,126,0.1260,0.000000,0.00000,0.0000,-2.5031,3.5031,0.00,0,0
35,130,0.1300,0.000000,0.00000,0.0000,-2.5580,3.5580,0.00,0,0
